Supplier,Invoice Number,Invoice Date,Due Date,Account Number,Bill To,Item #,Product Code,Item Description,Qty,Unit,Unit Rate (£),VAT %,VAT Amount (£),Line Total (£)
Next Day Coffee (NDCC Ltd),859125,01/12/2025,,,Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,2,CUWH003B,4oz Single Wall White Paper Cups (100),2,Each,2.49,20.00,1.00,5.98
Next Day Coffee (NDCC Ltd),859125,01/12/2025,,,Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,3,,Delivery,1,,3.99,0.00,0.00,3.99
Next Day Coffee (NDCC Ltd),859125,01/12/2025,,,Chocoberry Cardiff - 205 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Subtotal £19.96 | Delivery £3.99 | VAT Total £1.00 | Total £24.95,,,,,1.00,24.95
MR TEES LTD,INV-4011,11/02/2026,13/03/2026,358072683,Chocoberry Cardiff 1 Ltd,1,,Heavyweight T-shirt,12,Each,8.50,20.00,,102.00
MR TEES LTD,INV-4011,11/02/2026,13/03/2026,358072683,Chocoberry Cardiff 1 Ltd,2,,Chef Jacket,3,Each,15.00,20.00,,45.00
MR TEES LTD,INV-4011,11/02/2026,13/03/2026,358072683,Chocoberry Cardiff 1 Ltd,INVOICE TOTAL,,Sub Total £147.00 | VAT £29.40 | Total £176.40 | Amount Due £176.40,,,,,29.40,176.40
MediSupplies Ltd,4672033,17/12/2025,30 Days Net,1001297020 / CC-GM-WEB-3131873,Chocoberry - 205 City Rd Cardiff CF24 3JR,1,PMC5234,FlexCel Blue Nitrile Powder Free Gloves Box 100 – Medium,20,EACH,2.7000,20.00,,54.00
MediSupplies Ltd,4672033,17/12/2025,30 Days Net,1001297020 / CC-GM-WEB-3131873,Chocoberry - 205 City Rd Cardiff CF24 3JR,2,PMC5235,FlexCel Blue Nitrile Powder Free Gloves Box 100 – Large,20,EACH,2.7000,20.00,,54.00
MediSupplies Ltd,4672033,17/12/2025,30 Days Net,1001297020 / CC-GM-WEB-3131873,Chocoberry - 205 City Rd Cardiff CF24 3JR,3,PMC0054,GREEN MOB CAP – PK 100,10,EACH,3.6500,20.00,,36.50
MediSupplies Ltd,4672033,17/12/2025,30 Days Net,1001297020 / CC-GM-WEB-3131873,Chocoberry - 205 City Rd Cardiff CF24 3JR,INVOICE TOTAL,,Goods £144.50 | VAT 20% £28.90 | Total £173.40 | INVOICE PAID,,,,,28.90,173.40
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,1,,Duty of Care Charge (01/02/2026),1,,6.00,20.00,1.20,6.00
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,2,,Empty 1100L Lockable General x2 (02/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,3,,Empty 1100L Lockable General x2 (04/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,4,,Empty 1100L Lockable General x2 (06/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,5,,Empty 1100L Lockable General x2 (09/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,6,,Empty 1100L Lockable General x2 (11/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,7,,Empty 1100L Lockable General x2 (13/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,8,,Empty 1100L Lockable General x2 (16/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,9,,Empty 1100L Lockable General x2 (20/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,10,,Empty 1100L Lockable General x2 (23/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,11,,Empty 1100L Lockable General x2 (25/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,12,,Empty 1100L Lockable General x2 (27/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,13,,Empty 1100L Lockable General x2 (19/02/2026),2,,15.90,20.00,6.36,31.80
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,14,,Empty 360L Cans Plastics Cartons (03/02/2026),1,,10.50,20.00,2.10,10.50
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,15,,Empty 360L Cans Plastics Cartons (17/02/2026),1,,10.50,20.00,2.10,10.50
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,16,,Empty 240L Food (02/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,17,,Empty 240L Food (06/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,18,,Empty 240L Food (09/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,19,,Empty 240L Food (13/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,20,,Empty 240L Food (16/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,21,,Empty 240L Food (20/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,22,,Empty 240L Food (23/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,23,,Empty 240L Food (27/02/2026),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,24,,Empty 240L Food (02/02/2026 – 2nd collection),1,,9.01,20.00,1.80,9.01
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,25,,Empty 360L Glass (10/02/2026),1,,6.47,20.00,1.29,6.47
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,26,,Empty 360L Glass (24/02/2026),1,,6.47,20.00,1.29,6.47
Lili Waste Services Ltd,P598125,28/02/2026,14 days,CHO003,Chocoberry Cardiff 1 Ltd - 199-204 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Total Net £493.62 | Total VAT £98.72 | Total £592.34,,,,,98.72,592.34
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,1,1544,CLASS Ind StickyToffee Pud (1x12),2,1x12,20.02,0.00,0.00,40.04
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,2,52774,Luxury Sticky Chocolate Pu (1x12),1,1x12,21.76,0.00,0.00,21.76
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,3,28924,Molten Chocolate Truffle CSWEET STR (9x140g),4,9x140g,22.54,0.00,0.00,90.16
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,4,33988,Vanilla Dream Ice Cream MOVENPICK (51t),6,51t,29.59,20.00,,177.54
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,5,B3430X3,Blue Bubblegum Gelato DISOTTO (51t),1,51t,24.29,20.00,,24.29
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,6,15309X3,Strawberry Ice Cream MOVENPICK (51t),1,51t,29.59,20.00,,29.59
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,7,7229X3,Swiss Chocolate Ice Cream MOVENPICK (51t),3,51t,29.59,20.00,,88.77
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,8,28574X4,Cookies & Cream Gelato DISOTTO (51t),1,51t,20.50,20.00,,20.50
Holdsworth Foods (Michael I Holdsworth Ltd),510-715159,20/08/2025,7 days from statement,CH0769 / Web Order 220150,Chocoberry Cardiff 1 Ltd T/A Chocoberry - 205 City Road Cardiff CF24 3JD,INVOICE TOTAL,,VAT Rate 1 ZERO £151.96 VAT £0.00 | VAT Rate 2 20% £340.69 VAT £68.13 | Total Ex VAT £492.65 | VAT £68.13 | Invoice Total £560.78,,,,,68.13,560.78
Henley Bridge (Cocoa House Lewes),HB130437W,05/02/2026,05/02/2026,AWRS URN: XZAW 000 0010 4874,Chaiwala - 192 City Road Cardiff CF24 3JF,1,B.O3XCTE15,Belcolade Cacao Trace Milk Chocolate 34% Buttons 1kg 5kg and 15kg (15kg SKU),2,15kg,146.11,0.00,0.00,292.22
Henley Bridge (Cocoa House Lewes),HB130437W,05/02/2026,05/02/2026,AWRS URN: XZAW 000 0010 4874,Chaiwala - 192 City Road Cardiff CF24 3JF,INVOICE TOTAL,,Total £292.22 | Amount Paid £292.22 | Amount Due £0.00 | PAID IN FULL,,,,,0.00,292.22
Global Foods Limited,415827,26/02/2026,26/02/2026,Customer 19382,Chaiwala Restaurant - 199-203 City Road Cardiff CF24 3JR,1,36784,Red Bull Stimulation 24x3x8x250ml (Case),1,Case,20.49,20.00,,20.49
Global Foods Limited,415827,26/02/2026,26/02/2026,Customer 19382,Chaiwala Restaurant - 199-203 City Road Cardiff CF24 3JR,2,36786,Red Bull Stimulation 24x3x8x250ml (Single),1,Single,20.49,20.00,,20.49
Global Foods Limited,415827,26/02/2026,26/02/2026,Customer 19382,Chaiwala Restaurant - 199-203 City Road Cardiff CF24 3JR,INVOICE TOTAL,,Count Total Cases 2 Singles | VAT Code B 6.0000 20.00% | Total Goods £40.98 | VAT £8.20 | Total Invoice £49.18 | PAID AT CASH POINT 26 FEB 2026,,,,,8.20,49.18
Freshways (Nijjar Dairies Ltd),A8486779,21/03/2026,21/03/2026,63154 / Round 1051,Chocoberry - 205 City Road Cardiff CF24 3JR,1,40,2ltr Whole Milk,24,2ltr,1.3700,Z - Zero,0.00,32.88
Freshways (Nijjar Dairies Ltd),A8486779,21/03/2026,21/03/2026,63154 / Round 1051,Chocoberry - 205 City Road Cardiff CF24 3JR,2,261,500g UHT Aerosol Cream,17,500g,3.7900,Z - Zero,0.00,64.43
Freshways (Nijjar Dairies Ltd),A8486779,21/03/2026,21/03/2026,63154 / Round 1051,Chocoberry - 205 City Road Cardiff CF24 3JR,INVOICE TOTAL,,Invoice £97.31 | VAT £0.00 | Balance B/Forward £0.00 | Total Balance Owed £97.31 | Week Ending 21 Mar 2026 | Total Payments Received This Week £217.46,,,,,0.00,97.31
EDF Energy,KI-A47C1F14-0007,28/03/2026,28/03/2026,A-A47C1F14 / Meter 9394199000,Checoberry Cardiff 1 LTD - 175 Chepstow Road Newport NP19 8GH,1,9394199000,"Gas – Energy Used 334,000 units (m³) @ 7,800p/kWh (est.) Fixed Online 1 Year 01 Jul 2025 – 28 Feb 2026",334000,m³,,0.00,0.00,287.88
EDF Energy,KI-A47C1F14-0007,28/03/2026,28/03/2026,A-A47C1F14 / Meter 9394199000,Checoberry Cardiff 1 LTD - 175 Chepstow Road Newport NP19 8GH,2,9394199000,Gas – Standing Charge 243 days @ 45.000p/day,243,days,0.45,0.00,0.00,109.35
EDF Energy,KI-A47C1F14-0007,28/03/2026,28/03/2026,A-A47C1F14 / Meter 9394199000,Checoberry Cardiff 1 LTD - 175 Chepstow Road Newport NP19 8GH,3,9394199000,Government Climate Change Levy (CCL) 3690.8 kWh @ 0.000p/kWh,3690.8,kWh,0.00,0.00,0.00,0.00
EDF Energy,KI-A47C1F14-0007,28/03/2026,28/03/2026,A-A47C1F14 / Meter 9394199000,Checoberry Cardiff 1 LTD - 175 Chepstow Road Newport NP19 8GH,INVOICE TOTAL,,Estimated VAT Invoice | Net Gas Charges -£397.23 | CCL £0.00 | VAT £19.86 | Total £417.09 debit | Current Balance £385.63 credit | Supply: 205 City Road Cardiff CF24 3JD | Contract: Fixed Online 1 Year ends 01 Jul 2026,,,,,19.86,417.09
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,1,,Choco Puff Powder (HQ),12,Box,4.00,0.00,0.00,48.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,2,,Chocoberry Belgian Style Luxury Waffle Mix,3,Box,45.00,0.00,0.00,135.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,3,,CHOCOBERRY ROUND WAFFLE PLATES,1,pcs,80.00,20.00,16.00,80.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,4,,Chocoberry Tea Blend (Pack of 10),1,Box,59.99,0.00,0.00,59.99
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,5,,Comelle Ice Cream Mix,12,ltr,20.99,20.00,50.38,251.88
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,6,,Cookie Dough (20 kg),2,Box,140.00,0.00,0.00,280.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,7,,Crep Mix Powder (HQ),4,Box,5.00,0.00,0.00,20.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,8,,Kanafeh (25pcs),4,Box,57.50,0.00,0.00,230.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,9,,Belcolade Chocolate Milk (15 KG),2,Box,148.99,0.00,0.00,297.98
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,10,,Milk Chocolate Flavour Button,1,kg,89.00,0.00,0.00,89.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,11,,Lotus Sauce (Case of 4),1,ml,38.00,0.00,0.00,38.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,12,,Nutella (2x3Kg),3,kg,37.99,0.00,0.00,113.97
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,13,,PISTACHIO KNAFEH MIX TUB,1,kg,69.00,0.00,0.00,69.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,14,,Lotus Biscoff,1,Box,15.00,0.00,0.00,15.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,15,,OREO Biscuit,2,Box,15.00,0.00,0.00,30.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,16,,Lazy Cat Cake (20pcs),1,Box,79.00,0.00,0.00,79.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,17,,Krunch Cake (24 Pcs),1,Box,95.00,0.00,0.00,95.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,18,,Chocolate Dream Cake,15,Pcs,2.95,0.00,0.00,44.25
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,19,,Banana Pudding (30 Pcs),1,Box,60.00,0.00,0.00,60.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,20,,Pistachio Chocolate Kanafeh Dream Cake,18,Box,3.50,0.00,0.00,63.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,21,,Chocolate Fudge Fixation,3,Box,25.00,0.00,0.00,75.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,22,,Molten Chocolate Cake (Lava Cake),4,Box,23.00,0.00,0.00,92.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,23,,Bramley Apple Crumbles,1,Box,23.00,0.00,0.00,23.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,24,,Luxury Cookies & Cream Cheesecake,1,Box,42.00,0.00,0.00,42.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,25,,Luxury Ferrero Rocher Cheesecake,2,Box,42.00,0.00,0.00,84.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,26,,Milk Cake Tray (Biscoff),2,Box,20.00,0.00,0.00,40.00
Cr8 Foods Ltd,INV-000208,26/03/2026,26/03/2026,SO-00188,Chocoberry Cardiff - 205 City Rd Cardiff CF24 3JD,27,,Milk Cake Tray (Oreo),1,Box,20.00,0.00,0.00,20.00
