,Item,Items sold,Sales
337,Pistachio swirl,1,5.00
338,Chocolate,1,4.00
339,Brownies on kunafeh cup,1,1.50
340,Choc syrup,1,0.50
341,F,1,0.00
342,Vanilla and custard,1,2.00
343,Add fudge brownie to cookie d.,1,0.75
344,Iced capp frappe,1,5.50
345,Caramel syrup,1,0.50
346,Ex strawberries on one  choc chip cookie dough,1,0.50
347,Mayo and ketchup,1,1.00
348,Large spanish katte,1,5.00
349,Extra hasbrown,1,1.50
350,Two ex sausages,1,3.00
351,Ex kunafeh on browni,1,1.00
352,Karak l,1,1.00
353,Large eng tea. No sugar hotmkilk,1,4.00
354,Bananan pudding,1,5.50
355,5,1,5.00
356,Ex white choc for the crepe,1,1.00
357,Pistachio cheese cake,1,7.00
358,Coffee shot,1,0.50
359,Nutella Kanafeh,1,8.50
360,Strawberries on icecream,1,1.00
361,Hazelnut syrup,1,0.50
362,Add hazelnu t,1,0.50
363,Banana,1,0.75
364,0.01,1,0.00
365,Cheese on the egg on south asian,1,1.50
366,Red Bull,1,2.00
367,Cookie crumb swirl,1,5.00
368,Oreo on shake,1,1.00
369,Strawberryies,1,0.75
370,Frappe,1,5.50
371,Add strawbs,1,0.75
372,Add white choc,1,1.50
373,Iced chocolate frappe,1,5.50
374,Whipoy,1,1.50
375,Tiramisu x2,1,13.00
376,Pistachio cheesecske,1,7.00
377,Add oreos,1,1.00
378,Date box,1,9.95
379,Larhe,1,1.00
380,Oreo crumbs,1,0.75
381,Add mixed nuts,1,0.75
382,Expresso,1,1.50
383,Strwberry n nutella,1,8.00
384,Lindt cheesecake,1,4.00
385,White choc,1,1.00
386,Add custard,1,1.00
387,Apple crumble,1,5.50
388,Add oreo to shake,1,0.75
389,Ex pista choc,1,1.50
390,Karak chai,1,3.00
391,Iced mocha,1,5.00
392,Chcoclate explosion,1,9.50
393,Extra biscoff crumbs,1,0.50
394,Biscoff crumbs and sauce,1,1.00
395,Extra banana,1,0.75
396,Bubblegum Sauce,1,0.50
397,Hot pistachio spanish latte,1,4.00
398,Extravcustard,1,1.50
399,Spanish katte 2,1,8.00
400,Biscoff on shaken,1,1.00
401,Add white to crepe,1,1.00
402,Test1,1,0.01
403,Add kinder choc,1,1.00
404,Extra katafi mix,1,2.00
405,Fudge brownies on the cookie dough,1,0.75
406,Traditional Omelette,1,10.00
407,Add milk choc,1,0.50
408,Hazelnut and vanilla syrup,1,2.00
409,Caramel syrup in 1,1,0.50
410,Grated cheese on top. Make it spicy.,1,0.50
411,Momos,1,2.00
412,Nuts,1,0.75
413,Extra kunafeh,1,1.00
414,Macaroons,1,7.00
415,Ex pistabcause on kunafeh,1,1.50
416,Chickrn,1,4.00
417,1 custard takeout pls,1,1.00
418,Add brownie bites,1,2.00
419,Db,1,15.00
420,Ex nutella on crepen,1,1.00
421,Iced cap frappe,1,6.00
422,Strawberry sauce,1,0.50
423,Melty Cheese Burger,1,12.00
424,Trial,1,0.01
425,Whipp,1,1.50
426,Extra kinder sauce,1,1.00
427,Chocolate syrup and nuts,1,1.50
428,Ex 2 poundsvfor tiramisu,1,2.00
429,E tra,1,1.00
430,Add mini eggs,1,0.25
431,Extra nutella on crepe,1,1.50
432,Pistachio latte hot,1,4.00
433,Pista sauce on the kanefhn,1,1.50
434,Extra sausage,1,1.50
435,Ex kinder bueno piecees on the crepe,1,1.50
436,B,1,0.95
437,Toffee frappe,1,5.50
438,Plqin noodles,1,5.00
439,LZy,1,2.00
440,Add fruit,1,0.75
441,Ex white choc,1,1.00
442,1.75,1,1.75
443,Spanish Latte Hot Large,1,4.95
444,Add mixed njts,1,0.75
445,Strawberries in milkshake and syrup,1,0.75
446,Extra strawberry,1,0.75
447,Biscoff crumbs on crepe,1,0.75
448,Lzrge karak,1,1.00
449,1,1,0.00
450,Open items,1,1.50
451,Pistachio spqnish latte,1,4.00
452,Add kinder pieces,1,1.20
453,Caramel syrup in 2 matchas,1,1.00
454,S,1,2.00
455,Ex sauce on the kunafeh cup,1,2.00
456,Sweet chilli sauce,1,1.00
457,Lzrge spanish latte,1,1.00
458,Grilled,1,2.00
459,Custard,1,1.50
460,Pasta,1,4.00
461,Rasperries on waffle bits,1,1.00
462,Pistachio chese cake,1,14.00
463,Swap for rode falooda,1,1.00
464,Lava caken,1,0.50
465,Pistachio soanish katte hot,1,4.00
466,Swap for masalanchups,1,1.00
467,6.00,1,6.00
468,Mushrooms on toast,1,7.05
469,Choc sauce,1,0.50
470,Waffle bites with kinder and strawberries,1,0.75
471,Karak chai Large,1,4.00
472,Oreo crumbs on churros,1,0.50
473,Cd,1,2.00
474,Oreos,1,0.50
475,Pistaxhio swirl,1,1.80
476,Tiramisu takeaway,1,6.50
477,Extra nutella on kunafa,1,1.00
478,Ex kunafeh on the cup,1,1.50
479,Lotus biscoff french toast,1,10.00
480,Bhai,1,0.50
481,Biscoff on the shake,1,1.00
482,Mocha frappe,1,5.00
483,Vanilla syrup in one of them,1,0.50
484,Pistqchio cgeesecake,1,6.50
485,Pista slice,1,7.50
486,Only plain half waffle,1,6.00
487,Iced cappucino frappe,1,6.00
488,Dhfvg,1,0.01
489,3 strawberries,1,2.00
490,Full oreo waffle,1,2.00
491,Chicken patty eat in,1,2.50
492,Add pista nuts on top,1,1.00
493,Avactado jon side,1,1.00
494,Iced spanish latte,1,4.00
495,Extra hashbrown,1,1.50
496,Pista crumbs,1,1.00
497,Pistqchio soanish latte,1,4.00
498,Ex white choc sauce on the cookie dough,1,1.00
499,Cg,1,0.01
500,Strawberry and banana,1,3.00
501,Mixed nuts on top f cookie dough,1,0.75
502,1 paratha,1,1.50
503,Hot water with lemon,1,1.50
504,Mixed nuts on scoops,1,0.75
505,E,1,1.00
506,Extra katafi,1,2.00
507,5 extra whippies,1,6.50
508,Rice,1,2.50
509,Oreo on cookiedough,1,0.75
510,Paratha 1,1,1.50
511,Cheese on toast,1,7.50
512,Strawberry on the shake,1,0.50
513,Strawberries on side for churros,1,2.00
514,Extra biscoff,1,0.50
515,Strawberries on the cookie doughb,1,0.50
516,Nutella on crepe,1,1.00
517,White choc sauce,1,1.00
518,0.75,1,0.75
519,Kinder choc,1,2.00
520,Biscoff cheesecake,1,1.00
521,Crunch cake,1,10.00
522,Regular spanish latte,1,4.00
523,Pista sause,1,1.50
524,Lotus sauce on the ice cream,1,1.00
525,Oreo dust on biscos,1,0.75
526,2. Whmip?pies,1,2.00
527,Karak large,1,4.00
528,Ex choc white,1,1.00
529,Extra beef on noodles,1,2.00
530,Milk choc strwberry cup,1,8.00
531,FREE Hot or Cold Drink with Sesame Noodles,1,8.33
532,Ex nutella on crepe,1,1.00
533,Caramel,1,0.50
534,Paratha roll,1,5.00
535,Oreo mocha with biscoff,1,6.50
536,1 bagel only,1,4.00
537,Brownie in it,1,0.75
538,Karak,1,2.00
539,2.0,1,0.00
