Item Name (Flipdish),Units Sold (Q1)
Pomegranate Mocktail,15
Whipped cream,10
Pistachio cheesecake,10
Mi-Su Swirl,9
Big Bang Breakfast,8
Luna Latte,8
Chocolate Date Gift Box,7
Mini Marshamallow Halal (4oz),7
Redbull,7
Whipy,6
Large,6
White Hot  Chocolate,6
Icecream,6
Sticky Toffee  Pudding,6
Veggie Burger,5
Breakfast Bowl,5
Sausage,5
Chicken Parmeason,5
Large spanish latte hot,5
Karak Large,5
Extra chicken,4
T,4
Espresso,4
Extra milk,4
The Mediterranean Breakfast,3
2 whippies,3
Banana pudding,3
Add banana,3
Karak Chai Large,3
Whippy icecream,3
Pista cheesecake,3
Snickers,3
W,3
Large Chai,3
Banana on cookie dough,3
Large Karak,3
Large karak,3
Red Velvet Latte,3
Extra,3
Strawberry,3
Pista,2
Add nutella,2
Cream,2
Hot milk,2
Tiramisu cheesecake,2
Custards,2
Waffle,2
Strawberries,2
Oreo,2
Extra Protein,2
N,2
D,2
C,2
Red bull,2
Qwhippy,2
Spanish Latte Large,2
Wippy,2
Ex mango for shake,2
Large Karak Chai,2
Milk,2
Whipppy,2
Large karak chai,2
Whippped cream,2
Karak chai large,2
White choc sauce,1
Bananan pudding,1
Lotus sauce on the ice cream,1
Kinder pieces,1
Add strawbs,1
Regular spanish latte,1
Oreo in the shake,1
6.00,1
Ex white choc for the crepe,1
Pistqchio cgeesecake,1
Test1,1
Paratha roll,1
Extravcustard,1
Vanilla syrup in one of them,1
Ex white choc sauce for the crepe,1
Grilled,1
Ex kunafeh on the cup,1
6,1
Add mini eggs,1
Swirl,1
Grated cheese on top. Make it spicy.,1
Add oreo,1
5,1
Waffle bites with kinder and strawberries,1
Espresso shot,1
Ex white sauce,1
Vanilla syrup,1
Cg,1
Large hot spanish latte,1
Spanish katte 2,1
Karak large,1
Date box,1
1 extra sausage,1
Dhfvg,1
Chickrn,1
Pistachio cheese cake,1
Coffee shot,1
Large spanish katte,1
Db,1
Extra biscoff,1
Banana on the shake,1
Larhe,1
Chocolate,1
Oreo n ferrero shake,1
Caramel syrup in 2 matchas,1
Lzrge karsk,1
Pistachio cheesecske,1
.75,1
E,1
Gingerbread Latte,1
Ex milk,1
Caramel syrup in bith and regular milk,1
Ex kunafeh on browni,1
Strawberries on icecream,1
Add pista nuts on top,1
Ex pistabcause on kunafeh,1
Large eng tea. No sugar hotmkilk,1
Ex white choc sauce on the cookie dough,1
Add white choc,1
FREE Hot or Cold Drink with Sesame Noodles,1
Iced soanish latte,1
Spanish Latte Hot Large,1
Whipp,1
Ex nutella on crepe,1
Pistqchio soanish latte,1
Add fudge brownie to cookie d.,1
Lzrge spanish latte,1
2.0,1
Upgrade to Large,1
Paratha 1,1
Extra caramel,1
Lindt cheesecake,1
Vanilla and custard,1
Tiramisu takeaway,1
Strawberries on the cookie doughb,1
Nuts,1
Oreo mocha with biscoff,1
Karak chai,1
Biscoff on the shake,1
Big whippy,1
Momos,1
Mixed nuts on top f cookie dough,1
Extra noodles in both,1
Brownie in it,1
Mixed nuts on scoops,1
Lzrge karak,1
Karak,1
Ex kunafeh,1
Choc sauce,1
Tbytbhtyb,1
Extra katafi mix,1
Bubblegum Sauce,1
Ex white choc sauce forbchurros on the side,1
Ex white choc,1
Mayo and ketchup,1
Plqin noodles,1
Extra nutella on crepe,1
Extra pistachio nuts,1
Kinder sauce on the cookie dough,1
Ex strawberries on one  choc chip cookie dough,1
Extra hasbrown,1
Hazelnut and vanilla syrup,1
Sweet chilli sauce,1
Strawberries on vqnlla scoop ice cream,1
Full fruitella,1
Tiramisu mistake,1
Add kinder pieces,1
Milk choc strwberry cup,1
Pistachio cheesecaje,1
Biscoff on shaken,1
Pistaxhio swirl,1
Open items,1
Add ferrero in aero mint,1
Pist a cheesecake,1
Add Strawberries,1
Add pista,1
Chocolate syrup and nuts,1
2 whippie s,1
Extra kinder sauce,1
Sauce milk choc w cheesecake,1
Extra strawberries,1
Iced cap frappe,1
Mushrooms on toast,1
Add brownie bites,1
2 tiramisu,1
Noodles,1
Strawberry and banana,1
Strawberries with milk choc,1
Pistachio spqnish latte,1
Pistachio soanish katte hot,1
Strawberry sauce,1
Pista sauce on the kanefhn,1
S,1
I,1
Add Espresso,1
Bp,1
Mixed nuts,1
Eggs - ALLERGY,1
Brownies on kunafeh cup,1
Extra nutella on kunafa,1
Only plain half waffle,1
E tra,1
Karak chai Large,1
Add kinder choc,1
Chocoberry swirks,1
Two ex sausages,1
Pistachio sauce,1
Nutella sauce for churros,1
Extra whippy,1
Strawberry and bananan milkshake,1
Add mixed nuts on waffle,1
Pista sauce Large Shot,1
Biscoff crumbs on crepe,1
Iced capp frappe,1
Whippy large,1
Strawberryies,1
Oreo crumbs,1
Extra milk and pista for cup,1
Ex white choc sauce on the wafflen,1
Add milk choc,1
Toffee frappe,1
Add oreo to shake,1
Ex nutella oon crepe,1
Kara L,1
5 extra whippies,1
B,1
Cd,1
Fudge brownies on the cookie dough,1
Chcoclate explosion,1
Add oreos,1
F,1
Crunch cake,1
Hazelnut,1
Cheese on the egg on south asian,1
Iced chocolate frappe,1
Hot water with lemon,1
Ex 2 poundsvfor tiramisu,1
Biscoff cheesecake,1
Full oreo waffle,1
Caramel frappe,1
Oreo on cookiedough,1
Shake,1
Red Bull,1
Expresso shit,1
Swap for masalanchups,1
Hazelnut syrup,1
Lotus crumbs,1
Pistachio chese cake,1
Strawberries on side for churros,1
San sebastian with milk choc,1
Extra katafi,1
Extra kunafeh,1
Caramel,1
Ex pista choc,1
Pistachio latte hot,1
Trial,1
Strawberries in milkshake and syrup,1
Expresso,1
Add fruit,1
Caramel syrup in 1,1
Extra nutella on the,1
Macaroons,1
Ex choc sauce on dough,1
Oreo crumbs on churros,1
1 custard takeout pls,1
Oreo dust on biscos,1
Ex choc sauce on the kunafeh,1
Ex choc white,1
Frappe,1
Melty Cheese Burger,1
Nutella Kanafeh,1
Swap chips for masala chips,1
0.75,1
Tiramisu x2,1
Lava caken,1
Ex kiinder sauce on kunafeh,1
Iced spaniah late,1
Pista slice,1
Extra biscoff crumbs,1
Extra sausage,1
Add mixed njts,1
Kinder choc,1
Caramel syrup,1
Add hazelnu t,1
Whipoy,1
Custard,1
Non of your binnesssss,1
Ex kinder bueno piecees on the crepe,1
Ex nutella sauce on waffle,1
1 paratha,1
Ex biscoff on shake,1
Pasta,1
Strawberry Sauce,1
Extra banana,1
Bhai,1
Iced cappucino frappe,1
Karak l,1
Chicken patty eat in,1
Extra beef on noodles,1
Banana,1
Strwberry n nutella,1
Hg,1
Iced spanish katte with oat,1
LZy,1
Extra hashbrown,1
0.01,1
Ex nutella sauce on the dough,1
White choc,1
3 strawberries,1
Strawberries chopped,1
O,1
Nutella on crepe,1
Oreos,1
Swap for rode falooda,1
Add mixed nuts,1
Biscoff crumbs and sauce,1
Macatoons,1
Extra strawberry,1
Hot pistachio spanish latte,1
Ex strawberries on top,1
