,Property name,Order ID,Sale number,Order time,Source,Dispatch type,Sales channel name,Sales channel type,Payment method,Is preorder,Refund status,Net sales,Tax on net sales,Tips,Delivery charges,Service charges,DRS charges,Packaging charges,Additional charges,Charges,Revenue,Refunds,Revenue after refunds,Discounts
11,20 - Chocoberry - Cafe Cardiff,ubereats.52ED6.urbanpiper.1117400716,52ED6,2026-04-02 00:00:32,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,29.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.40,0.00,29.40,0.00
12,20 - Chocoberry - Cafe Cardiff,deliveroo.2640.urbanpiper.1117399794,2640,2026-04-01 23:51:57,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,8.50,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00
13,20 - Chocoberry - Cafe Cardiff,flipdish.181799433,181799433,2026-04-01 23:50:54,Flipdish,Collection,Chocoberry Cardiff,Web,Paid online,No,,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,14.50,0.00
14,20 - Chocoberry - Cafe Cardiff,deliveroo.1973.urbanpiper.1117399512,1973,2026-04-01 23:49:16,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,35.20,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.90,0.00,36.90,0.00
15,20 - Chocoberry - Cafe Cardiff,deliveroo.1844.urbanpiper.1117399423,1844,2026-04-01 23:48:30,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,25.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.20,0.00,25.20,0.00
16,20 - Chocoberry - Cafe Cardiff,ubereats.FC821.urbanpiper.1117398708,FC821,2026-04-01 23:42:13,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00
17,20 - Chocoberry - Cafe Cardiff,12a30d07-ed74-4b33-9b9a-3c240b375775,636,2026-04-01 23:41:30,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00
18,20 - Chocoberry - Cafe Cardiff,5c6a060e-d412-4a7d-ab63-9dd0c35ba72c,635,2026-04-01 23:40:48,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,25.08,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,26.00,0.00
19,20 - Chocoberry - Cafe Cardiff,deliveroo.7516.urbanpiper.1117398159,7516,2026-04-01 23:37:19,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,10.35,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.50,0.00,10.50,0.00
20,20 - Chocoberry - Cafe Cardiff,b0ac231f-ce11-4fb9-8f50-f7aafd6f243e,634,2026-04-01 23:35:44,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,24.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.50,0.00,24.50,0.00
21,20 - Chocoberry - Cafe Cardiff,85afe3f9-62bf-42c0-8e68-7a2695074e1d,633,2026-04-01 23:34:14,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,8.50,0.00
22,20 - Chocoberry - Cafe Cardiff,justeats.ccrqrvdzjk2zp7rdnzerrw,825364469,2026-04-01 23:32:23,Just Eat,Delivery,Chocoberry Cardiff - JustEat,Just Eat,Paid online,No,,21.60,0.00,0.00,4.59,2.37,0.00,0.00,0.00,6.96,28.56,0.00,28.56,0.00
23,20 - Chocoberry - Cafe Cardiff,d2c412e8-0d4b-46e1-9ad5-d8cd9c47e6ae,632,2026-04-01 23:29:04,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,30.33,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.50,0.00,31.50,0.00
24,20 - Chocoberry - Cafe Cardiff,a454af85-4f3f-4390-91b0-cb5fb7e2121a,631,2026-04-01 23:22:55,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.50,0.00,19.50,0.00
25,20 - Chocoberry - Cafe Cardiff,ubereats.F2EA3.urbanpiper.1117396010,F2EA3,2026-04-01 23:20:21,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,23.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.40,0.00,23.40,0.00
26,20 - Chocoberry - Cafe Cardiff,deliveroo.8184.urbanpiper.1117394689,8184,2026-04-01 23:10:39,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,9.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00
27,20 - Chocoberry - Cafe Cardiff,24cbba2d-42a7-4db1-8ff1-fdc67f4de35b,630,2026-04-01 23:10:03,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,10.08,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,0.00,11.50,0.00
28,20 - Chocoberry - Cafe Cardiff,deliveroo.7300.urbanpiper.1117394488,7300,2026-04-01 23:09:18,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.10,0.00,11.10,0.00
29,20 - Chocoberry - Cafe Cardiff,ubereats.6AEE3.urbanpiper.1117392562,6AEE3,2026-04-01 22:55:58,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,20.12,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.21,0.00,22.21,-3.29
30,20 - Chocoberry - Cafe Cardiff,dec13bed-8640-45b3-a52a-70fd4072fc35,629,2026-04-01 22:54:50,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00
31,20 - Chocoberry - Cafe Cardiff,7a26904f-1e21-4b57-839b-bf680921ef55,628,2026-04-01 22:52:52,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00
32,20 - Chocoberry - Cafe Cardiff,ubereats.62DF3.urbanpiper.1117391109,62DF3,2026-04-01 22:46:12,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00
33,20 - Chocoberry - Cafe Cardiff,4e9a155f-1c8b-4e88-ac0c-2d83b3b1e2a0,627,2026-04-01 22:40:29,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,25.58,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,27.00,0.00
34,20 - Chocoberry - Cafe Cardiff,deliveroo.2015.urbanpiper.1117389539,2015,2026-04-01 22:35:57,Deliveroo,Collection,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,48.74,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.94,0.00,50.94,0.00
35,20 - Chocoberry - Cafe Cardiff,deliveroo.7870.urbanpiper.1117388240,7870,2026-04-01 22:27:40,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,14.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.90,0.00,15.90,0.00
36,20 - Chocoberry - Cafe Cardiff,1d1b2bef-7f13-440b-986b-cdb2df5c9549,626,2026-04-01 22:24:23,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,5.50,0.00
37,20 - Chocoberry - Cafe Cardiff,ubereats.D6743.urbanpiper.1117386999,D6743,2026-04-01 22:20:21,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,20.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.91,0.00,20.91,-1.29
38,20 - Chocoberry - Cafe Cardiff,d95b78d3-7669-43f6-a362-54a1208c6a42,625,2026-04-01 22:19:21,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,7.50,0.00
39,20 - Chocoberry - Cafe Cardiff,6df9e239-b1ee-4fc2-9401-5d5e96d8f4cf,624,2026-04-01 22:19:03,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,9.50,0.00
40,20 - Chocoberry - Cafe Cardiff,efe23bfb-9968-4774-9a2c-f13fbdf8ad68,623,2026-04-01 22:18:32,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,14.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.25,0.00,14.25,0.00
41,20 - Chocoberry - Cafe Cardiff,6940852b-2a22-47bd-9b67-e57ccbc1847b,622,2026-04-01 22:09:04,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,14.33,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.50,0.00,15.50,0.00
42,20 - Chocoberry - Cafe Cardiff,d038ceab-d0f0-49a0-b31a-1ac3d92a6425,621,2026-04-01 22:08:36,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,0.00,17.50,0.00
43,20 - Chocoberry - Cafe Cardiff,ffdab45c-0528-464c-ad01-d956841f0fac,620,2026-04-01 22:07:35,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,21.00,0.00
44,20 - Chocoberry - Cafe Cardiff,ubereats.0CD22.urbanpiper.1117384513,0CD22,2026-04-01 22:06:41,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,16.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.11,0.00,16.11,-1.29
45,20 - Chocoberry - Cafe Cardiff,e3ed8bff-2bfe-4bd4-989d-27650f533d80,619,2026-04-01 22:06:20,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,7.08,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,8.50,0.00
46,20 - Chocoberry - Cafe Cardiff,0b743de9-1e25-44c1-b51c-da4387f09035,618,2026-04-01 22:05:46,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00
47,20 - Chocoberry - Cafe Cardiff,da70d418-6c26-4bfb-a21c-17122738c50e,617,2026-04-01 22:04:53,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00
48,20 - Chocoberry - Cafe Cardiff,26c19187-f328-4f5b-9b7f-834cbf580e6a,616,2026-04-01 22:04:06,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,8.58,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00
49,20 - Chocoberry - Cafe Cardiff,86437961-de3e-4104-9906-5c1ec91c62e2,615,2026-04-01 22:00:21,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,14.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00
50,20 - Chocoberry - Cafe Cardiff,c42c6880-f304-43fd-ad9d-d96f1722c8cd,614,2026-04-01 21:58:53,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00
51,20 - Chocoberry - Cafe Cardiff,634e065d-6753-41f0-840d-6293d78afbe8,613,2026-04-01 21:53:25,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,16.66,3.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00
52,20 - Chocoberry - Cafe Cardiff,bae47a40-f44f-491c-bc27-6076d51aeaf8,612,2026-04-01 21:45:03,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,9.50,0.00
53,20 - Chocoberry - Cafe Cardiff,ubereats.90D53.urbanpiper.1117379781,90D53,2026-04-01 21:43:15,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,26.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.30,0.00,27.30,0.00
54,20 - Chocoberry - Cafe Cardiff,a9a429a1-d8be-47b0-af47-a1b02784c5a7,611,2026-04-01 21:40:46,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,22.03,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.75,0.00,23.75,0.00
55,20 - Chocoberry - Cafe Cardiff,c63d00bc-87f7-4feb-ac68-44e6909151ba,610,2026-04-01 21:28:31,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00
56,20 - Chocoberry - Cafe Cardiff,aa3e2964-c605-4127-879f-a1bef62e7966,609,2026-04-01 21:26:09,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,16.12,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.25,0.00,16.25,0.00
57,20 - Chocoberry - Cafe Cardiff,272a83c9-f83c-488b-a9c6-f7e1269bf5f3,608,2026-04-01 21:22:59,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00
58,20 - Chocoberry - Cafe Cardiff,db877eff-072e-4034-bb0f-a04a4a161292,607,2026-04-01 21:19:21,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,11.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,0.00,11.50,0.00
59,20 - Chocoberry - Cafe Cardiff,ubereats.9A033.urbanpiper.1117374168,9A033,2026-04-01 21:18:33,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,33.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.60,0.00,33.60,0.00
60,20 - Chocoberry - Cafe Cardiff,b1235c2b-96a6-4304-935a-8698cce85b56,606,2026-04-01 21:18:03,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00
61,20 - Chocoberry - Cafe Cardiff,28a6e70f-9c77-403e-80dc-f0b576b51bf1,605,2026-04-01 21:17:44,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00
62,20 - Chocoberry - Cafe Cardiff,170eb95e-0b7d-4200-b6b5-9e8953e60983,604,2026-04-01 21:17:23,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.75,0.00,16.75,0.00
63,20 - Chocoberry - Cafe Cardiff,a41abce0-12b5-4f9c-a6e8-f12a72fb7165,603,2026-04-01 21:16:36,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,8.33,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00
64,20 - Chocoberry - Cafe Cardiff,31a10d08-02ee-4372-bcc3-f62717bdcbf4,602,2026-04-01 21:16:04,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,23.62,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.25,0.00,24.25,0.00
65,20 - Chocoberry - Cafe Cardiff,deliveroo.4115.urbanpiper.1117373434,4115,2026-04-01 21:15:34,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,20.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.16,0.00,20.16,-5.04
66,20 - Chocoberry - Cafe Cardiff,ef74cbc5-5f82-445c-83a7-c9ce9327812f,601,2026-04-01 21:13:17,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00
67,20 - Chocoberry - Cafe Cardiff,703cee7c-5f34-4939-9886-189190d271d0,600,2026-04-01 21:13:00,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,15.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,0.00,17.50,0.00
68,20 - Chocoberry - Cafe Cardiff,0a9ea036-d145-4407-929b-9eabc473a698,599,2026-04-01 21:11:07,In store,Dine In,Chocoberry Cardiff,POS,Unpaid,No,,19.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.50,0.00,19.50,0.00
69,20 - Chocoberry - Cafe Cardiff,288e2f91-1f1c-4a2f-8ab0-27c1fbfd4d9c,598,2026-04-01 21:06:47,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,0.00,8.50,0.00
70,20 - Chocoberry - Cafe Cardiff,49a0080f-dfd2-4efd-9d39-215bdc96222d,597,2026-04-01 21:01:10,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,22.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00
71,20 - Chocoberry - Cafe Cardiff,4720e377-67a5-4948-8d35-2ee1f66a8573,596,2026-04-01 21:00:34,In store,Take Away,Chocoberry Cardiff,POS,Cash,No,,19.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00
72,20 - Chocoberry - Cafe Cardiff,c1d0226f-2cb7-4331-bb2e-3e5ba8928701,595,2026-04-01 20:59:40,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,33.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.58,0.00,33.58,-5.92
73,20 - Chocoberry - Cafe Cardiff,ubereats.25424.urbanpiper.1117367119,25424,2026-04-01 20:51:31,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,22.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.20,0.00,22.20,0.00
74,20 - Chocoberry - Cafe Cardiff,5fe7190c-1b4c-400c-8a18-48aa4cc4e828,594,2026-04-01 20:50:33,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,16.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.75,0.00,16.75,0.00
75,20 - Chocoberry - Cafe Cardiff,38ab29a2-1614-44ad-8eab-fb6765a25974,593,2026-04-01 20:46:09,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,29.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.75,0.00,29.75,0.00
76,20 - Chocoberry - Cafe Cardiff,7cc8d446-82e2-4d6d-8171-33d5e710e7ea,592,2026-04-01 20:44:07,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,11.83,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00
77,20 - Chocoberry - Cafe Cardiff,d3d45a6b-6291-49a8-91cb-ea98670f1e10,591,2026-04-01 20:41:15,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,5.50,0.00
78,20 - Chocoberry - Cafe Cardiff,deliveroo.9705.urbanpiper.1117364276,9705,2026-04-01 20:41:10,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,9.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00
79,20 - Chocoberry - Cafe Cardiff,2221e34e-45f3-48cd-9c09-27e2c69a65e8,590,2026-04-01 20:41:00,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,5.50,0.00
80,20 - Chocoberry - Cafe Cardiff,5ab9a9a2-78b4-4e77-b950-78bae354fda6,589,2026-04-01 20:38:53,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,31.95,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.25,0.00,34.25,0.00
81,20 - Chocoberry - Cafe Cardiff,ubereats.A9192.urbanpiper.1117362637,A9192,2026-04-01 20:35:40,Uber Eats,Collection,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,26.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.15,0.00,26.15,0.00
82,20 - Chocoberry - Cafe Cardiff,ubereats.7B404.urbanpiper.1117360961,7B404,2026-04-01 20:29:47,Uber Eats,Delivery,Chocoberry Cardiff - Uber Eats,Uber Eats,Paid online,Yes,,20.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00
83,20 - Chocoberry - Cafe Cardiff,deliveroo.6624.urbanpiper.1117360753,6624,2026-04-01 20:29:05,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00
84,20 - Chocoberry - Cafe Cardiff,6f7052a3-ea5a-4bb7-b082-7726d29e8f37,588,2026-04-01 20:28:20,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00
85,20 - Chocoberry - Cafe Cardiff,3093ee55-2247-41e8-9b8f-e722f9b760d0,587,2026-04-01 20:27:38,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,17.16,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,0.00,17.50,0.00
86,20 - Chocoberry - Cafe Cardiff,7286a2d1-9fed-474c-a900-d0d0b8e67a3e,586,2026-04-01 20:24:13,In store,Dine In,Chocoberry Cardiff,POS,Unpaid,No,,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,0.00,25.50,0.00
87,20 - Chocoberry - Cafe Cardiff,a387a2a4-9dbd-4d44-a7a6-03a9c3654918,585,2026-04-01 20:22:58,In store,Take Away,Chocoberry Cardiff,POS,Credit,No,,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00
88,20 - Chocoberry - Cafe Cardiff,f25b3ceb-7abf-4c3b-b7ae-23582704cdd5,584,2026-04-01 20:20:54,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00
89,20 - Chocoberry - Cafe Cardiff,cf515707-98cf-4b13-90eb-ba379754247b,583,2026-04-01 20:20:17,In store,Dine In,Chocoberry Cardiff,POS,Credit,No,,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00
90,20 - Chocoberry - Cafe Cardiff,deliveroo.3601.urbanpiper.1117357185,3601,2026-04-01 20:18:17,Deliveroo,Delivery,Chocoberry Cardiff - Deliveroo,Deliveroo,Paid online,No,,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,0.00,19.20,-4.80
91,20 - Chocoberry - Cafe Cardiff,flipdish.181784177,181784177,2026-04-01 20:15:27,Flipdish,Collection,Chocoberry Cardiff,Web,Paid online,No,,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,0.00,8.80,-2.20
