Category,Recipe Name,Type,Ingredient,Quantity,Unit/Notes
Cookie Dough,Chocolate Surprise Cookie Dough,Eat-In,Milk chocolate sauce,5 lines,Eat-In / 7-10 lines T/A
Cookie Dough,Raspberry Kiss Cookie Dough,Eat-In,Cookie dough,150g,Eat-In / 200g T/A
Cookie Dough,Raspberry Kiss Cookie Dough,Eat-In,White chocolate sauce,5 lines,Eat-In / 7-10 lines T/A
Cookie Dough,Raspberry Kiss Cookie Dough,Eat-In,Fresh raspberries,4-5 pcs,Eat-In / 6-7 pcs T/A
Cookie Dough,Raspberry Kiss Cookie Dough,Eat-In,Raspberry sauce,5 lines,Eat-In / 7 lines T/A
Kanafeh,BATCH: Sugar Syrup,Batch,Sugar packets,3 packets,
Kanafeh,BATCH: Sugar Syrup,Batch,Cardamom pods,20 pcs,
Kanafeh,BATCH: Sugar Syrup,Batch,Water,5 litres,boil 1 hour then cool 30-60 mins
Kanafeh,Original Kanafeh,All,Kanafeh (from HQ frozen),1 portion,defrost 24h in fridge - shelf life 3 days
Kanafeh,Original Kanafeh,All,Sugar syrup (homemade),4 circles edges + 5 circles middle after flip,applied during & after cooking
Kanafeh,Original Kanafeh,All,Pistachio dust,2 TBSP,edges only
Kanafeh,Original Kanafeh,All,COOKING: Oven temperature,260°C,7-10 mins until golden brown
Kanafeh,Nutella Loaded Kanafeh,All,Kanafeh,1 portion,
Kanafeh,Nutella Loaded Kanafeh,All,Nutella sauce,10 lines base + 5 lines cross angle,
Kanafeh,Nutella Loaded Kanafeh,All,Pistachio powder,2 TBSP,edges only
Kanafeh,White Chocolate & Pistachio Kanafeh,All,Kanafeh,1 portion,
Kanafeh,White Chocolate & Pistachio Kanafeh,All,Warm white chocolate,80g,
Kanafeh,White Chocolate & Pistachio Kanafeh,All,Pistachio dust,1 TBSP,on top
Kanafeh,Chocoberry Special Kanafeh,All,Kanafeh,1 portion,
Kanafeh,Chocoberry Special Kanafeh,All,Warm pistachio sauce,80g,
Kanafeh,Chocoberry Special Kanafeh,All,Pistachio dust,1 TBSP,on top
Kanafeh,Lotus Biscoff Kanafeh,All,Kanafeh,1 portion,
Kanafeh,Lotus Biscoff Kanafeh,All,Warm Lotus Biscoff spread,80g,
Kanafeh,Lotus Biscoff Kanafeh,All,Lotus Biscoff dust,1 TBSP,on top
Kanafeh,Oreo Kanafeh,All,Kanafeh,1 portion,
Kanafeh,Oreo Kanafeh,All,Nutella sauce,10 lines base + 5 lines cross angle,
Kanafeh,Oreo Kanafeh,All,Oreo powder,2 TBSP,edges only
Kanafeh,Belgian Chocolate Kanafeh,All,Kanafeh,1 portion,
Kanafeh,Belgian Chocolate Kanafeh,All,Warm Belgian milk chocolate,80g,base
Kanafeh,Belgian Chocolate Kanafeh,All,White chocolate,20g,marble effect with knife
Kanafeh,Belgian Chocolate Kanafeh,All,Pistachio powder,2 TBSP,around edges
Cheesecakes,Strawberry Cheesecake,Dine-In,Strawberry cheesecake (from HQ),1 pc,remove plastic wrapping
Cheesecakes,Strawberry Cheesecake,Dine-In,Chocolate sauce,circle on plate,plate decoration
Cheesecakes,Strawberry Cheesecake,Dine-In,Mixed berries,garnish,as per picture
Cheesecakes,Lotus Biscoff Cheesecake,Dine-In,Lotus Biscoff cheesecake (from HQ),1 pc,
Cheesecakes,Lotus Biscoff Cheesecake,Dine-In,Lotus dust,2 TBSP,half side of plate only
Cheesecakes,Lotus Biscoff Cheesecake,Dine-In,Mixed berries,garnish,
Cheesecakes,Milk Lindt Cheesecake,Dine-In,Milk Lindt cheesecake (from HQ),1 pc,
Cheesecakes,Milk Lindt Cheesecake,Dine-In,Cocoa powder,sprinkle half side of plate,shaker
Cheesecakes,Milk Lindt Cheesecake,Dine-In,Mixed berries,garnish,
Cheesecakes,Ferrero Rocher Cheesecake,Dine-In,Ferrero Rocher cheesecake (from HQ),1 pc,
Cheesecakes,Ferrero Rocher Cheesecake,Dine-In,Chocolate sauce,circle on plate,
Cheesecakes,Ferrero Rocher Cheesecake,Dine-In,Mixed berries,garnish,
Cheesecakes,Ferrero Rocher Cheesecake,Dine-In,Mixed nuts topping,2 TSP,around edges
Cheesecakes,Oreo Cheesecake,Dine-In,Oreo cheesecake (from HQ),1 pc,
Cheesecakes,Oreo Cheesecake,Dine-In,Oreo dust,2 TBSP,half side of plate
Cheesecakes,Oreo Cheesecake,Dine-In,Mixed berries,garnish,
Cheesecakes,Blueberry Crumble Cheesecake,Dine-In,Blueberry crumble cheesecake (from HQ),1 pc,
Cheesecakes,Blueberry Crumble Cheesecake,Dine-In,Cocoa powder,2 TBSP,half side of plate
Cheesecakes,Blueberry Crumble Cheesecake,Dine-In,Mixed berries,garnish,
Cheesecakes,San Sebastian Cheesecake,Dine-In,San Sebastian cheesecake (from HQ),1 pc,
Cheesecakes,San Sebastian Cheesecake,Dine-In,Milk chocolate sauce,1 TBSP,middle of plate with plastic knife
Cheesecakes,San Sebastian Cheesecake,Dine-In,Mixed berries,garnish,
Cheesecakes,San Sebastian Cheesecake,Dine-In,Sauce pot (2oz),1 pc,customer choice: milk choc / white / pistachio
Cheesecakes,Kanafeh Cheesecake,Dine-In,Kanafeh cheesecake (from HQ),1 pc,
Cheesecakes,Kanafeh Cheesecake,Dine-In,Pistachio sauce,1 TBSP,spread on edges of plate
Cakes & Treats,Hot Fudge Brownie,All,Fudge brownie (from HQ frozen),1 pc,microwave 30 secs (45 secs from frozen)
Cakes & Treats,Hot Fudge Brownie,All,Milk chocolate sauce,4 lines,on top
Cakes & Treats,Hot Fudge Brownie,All,Mixed berries,both sides,decoration
Cakes & Treats,Hot Fudge Brownie,All,Ice cream OR custard,1 serving,separate container
Cakes & Treats,Lava Cake,All,Lava cake (from HQ frozen),1 pc,microwave 30 secs (45 secs from frozen)
Cakes & Treats,Lava Cake,All,Milk chocolate sauce,4 lines,on top
Cakes & Treats,Lava Cake,All,Mixed berries,both sides,decoration
Cakes & Treats,Lava Cake,All,Ice cream OR custard,1 serving,separate container
Cakes & Treats,Luxury Fudge Cake,All,Luxury fudge cake (from HQ frozen),1 pc,microwave 30 secs (45 secs from frozen)
Cakes & Treats,Luxury Fudge Cake,All,Milk chocolate sauce,6 lines,on top
Cakes & Treats,Luxury Fudge Cake,All,Mixed berries,both sides,decoration
Cakes & Treats,Luxury Fudge Cake,All,Ice cream OR custard,1 serving,separate container
Cakes & Treats,Kanafeh Brownie,All,Brownie (from HQ frozen),1 pc,microwave 30 secs (45 secs from frozen)
Cakes & Treats,Kanafeh Brownie,All,Milk chocolate sauce,4 lines,on top
Cakes & Treats,Kanafeh Brownie,All,Katafi mix,1 TBSP,middle
Cakes & Treats,Kanafeh Brownie,All,Dry katafi,1 TSP,sprinkle
Cakes & Treats,Kanafeh Brownie,All,Pistachio powder,1 TSP,sprinkle
Cakes & Treats,Peanut Butter Stack,All,Peanut butter stack cake (from HQ frozen),1 pc,microwave 10 secs (20 secs from frozen)
Cakes & Treats,Peanut Butter Stack,All,Milk chocolate sauce,4 lines,on top
Cakes & Treats,Peanut Butter Stack,All,Mixed berries,garnish,
Cakes & Treats,Peanut Butter Stack,All,Ice cream OR custard,1 serving,separate container
Cakes & Treats,Cornflake Tart,All,Cornflake tart (from HQ frozen),1 pc,microwave 30 secs (45 secs from frozen)
Cakes & Treats,Cornflake Tart,All,Hot custard,separate serving,preferred accompaniment
Cakes & Treats,Jam & Coconut Sponge Cake,All,Jam & coconut sponge cake (from HQ frozen),1 pc,microwave 30 secs (45 secs from frozen)
Cakes & Treats,Jam & Coconut Sponge Cake,All,Hot custard,separate serving,preferred accompaniment
Cakes & Treats,Chocolate Pudding,All,Chocolate pudding (from HQ frozen),1 pc,microwave 1 min 30 secs from frozen
Cakes & Treats,Chocolate Pudding,All,Milk chocolate sauce,4 lines,on top after flipping
Cakes & Treats,Chocolate Pudding,All,Ice cream OR custard,1 serving,separate container
Cakes & Treats,Sticky Toffee Pudding,All,Sticky toffee pudding (from HQ frozen),1 pc,microwave 1 min 30 secs from frozen
Cakes & Treats,Sticky Toffee Pudding,All,Ice cream OR custard,1 serving,separate container - flip container onto plate
Cakes & Treats,Apple Crumble,All,Apple crumble (from HQ frozen),1 pc,microwave 1 min then oven 10 mins approx
Cakes & Treats,Apple Crumble,All,Ice cream OR custard,1 serving,separate container - remove with spatula cooked part on top
Waffle & Choco-Puff Batter,BATCH: Waffle Mix,Batch,Cold water,1800ml,
Waffle & Choco-Puff Batter,BATCH: Waffle Mix,Batch,Sunflower oil,500ml,
Waffle & Choco-Puff Batter,BATCH: Waffle Mix,Batch,HQ waffle mix,1 full packet,mix slowly 2-3 mins then heavily 2-3 mins. Rest 5-10 mins then mix final time
Waffle & Choco-Puff Batter,BATCH: Choco-Puff Mix,Batch,Water,750g,
Waffle & Choco-Puff Batter,BATCH: Choco-Puff Mix,Batch,Sunflower oil,250g,
Waffle & Choco-Puff Batter,BATCH: Choco-Puff Mix,Batch,HQ waffle mix,1500g,beat well with spatula 5-7 mins until thick
Chocoberry Specials,Waffle Bites,All,Waffle batter,5oz tub per portion,cook in machine at 170°C for 2 mins. Cut into pieces. Serve 8 pcs per dish
Chocoberry Specials,Chocopuffs,All,Choco-puff batter,12-13 puffs per portion,fry at 180°C until golden brown. Drain excess oil
Chocoberry Specials,Waffle Bites Topping — White Chocolate,All,Warm white chocolate,to coat,
Chocoberry Specials,Waffle Bites Topping — Nutella & Nuts,All,Nutella sauce,warm drizzle,
Chocoberry Specials,Waffle Bites Topping — Nutella & Nuts,All,Mixed nuts topping,1 TBSP,
Chocoberry Specials,Waffle Bites Topping — Kinder & Belgian Milk Choc,All,Kinder sauce,half side,6 lines
Chocoberry Specials,Waffle Bites Topping — Kinder & Belgian Milk Choc,All,Belgian milk chocolate,half side,6 lines
Chocoberry Specials,Waffle Bites Topping — Kinder & Strawberry,All,Kinder sauce,drizzle,
Chocoberry Specials,Waffle Bites Topping — Kinder & Strawberry,All,Medium strawberries,2 pcs,sliced
Chocoberry Specials,Waffle Bites Topping — Belgian Milk Chocolate,All,Belgian milk chocolate,to coat,
Chocoberry Specials,Waffle Bites Topping — Nutella & Strawberry,All,Warm Nutella,drizzle,
Chocoberry Specials,Waffle Bites Topping — Nutella & Strawberry,All,Medium strawberries,2 pcs,sliced
Chocoberry Specials,Waffle Bites Topping — Kinder & Oreo,All,Kinder sauce,drizzle,
Chocoberry Specials,Waffle Bites Topping — Kinder & Oreo,All,Oreo dust topping,sprinkle,
Chocoberry Specials,Waffle Bites Topping — Pistachio,All,Warm pistachio sauce,to coat,
Chocoberry Specials,Chocopuffs Topping — Nutella,All,Warm Nutella sauce,approx 15 lines,
Chocoberry Specials,Chocopuffs Topping — Milk Choc & Strawberry,All,Milk chocolate sauce,15 lines,
Chocoberry Specials,Chocopuffs Topping — Milk Choc & Strawberry,All,Medium strawberries,2 pcs,sliced
Chocoberry Specials,Chocopuffs Topping — Kinder & White Choc,All,Kinder sauce,6 lines,half side
Chocoberry Specials,Chocopuffs Topping — Kinder & White Choc,All,White chocolate sauce,6 lines,half side
Chocoberry Specials,Chocopuffs Topping — Kinder & White Choc,All,Medium strawberries,2 pcs,sliced
Round Waffles,Round Waffle Base,All,Waffle batter,1 ladle,pour evenly. Cook at 170°C for 3 mins. Serve immediately. Half rounds = all quantities halved
Round Waffles,Strawberry Dream Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Strawberry Dream Waffle,All,Medium strawberries,6 pcs,sliced
Round Waffles,Strawberry Dream Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
Round Waffles,Lotus Biscoff Waffle,All,Lotus sauce,12 lines,first drizzle
Round Waffles,Lotus Biscoff Waffle,All,Lotus Biscoff dust,3 TBSP,
Round Waffles,Lotus Biscoff Waffle,All,Lotus sauce,10 lines,finish drizzle
Round Waffles,Lotus Biscoff Waffle,All,Lotus Biscoff biscuit,1 pc,
Round Waffles,Oreo Overload Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Oreo Overload Waffle,All,Oreo dust,3 TBSP,
Round Waffles,Oreo Overload Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
Round Waffles,Oreo Overload Waffle,All,Oreo biscuit,1 pc,
Round Waffles,Snow White Waffle,All,White chocolate sauce,15 lines,first drizzle
Round Waffles,Snow White Waffle,All,Raffaello chocolate,1 pc,
Round Waffles,Snow White Waffle,All,Medium strawberries,5 pcs,sliced
Round Waffles,Snow White Waffle,All,Mini marshmallows,4oz,
Round Waffles,Snow White Waffle,All,White chocolate sauce,10 lines,finish drizzle
Round Waffles,White Chocolate & Strawberry Waffle,All,White chocolate sauce,15 lines,first drizzle
Round Waffles,White Chocolate & Strawberry Waffle,All,Medium strawberries,6 pcs,sliced
Round Waffles,White Chocolate & Strawberry Waffle,All,White chocolate sauce,10 lines,finish drizzle
Round Waffles,Chocolate Explosion Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Chocolate Explosion Waffle,All,Fudge brownies,2 pcs,smashed
Round Waffles,Chocolate Explosion Waffle,All,Kinder Bar chocolate,1 bar,
Round Waffles,Chocolate Explosion Waffle,All,Kinder chocolate sauce,10 lines,finish drizzle
Round Waffles,Banana Delight Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Banana Delight Waffle,All,Banana,10-12 thin slices,
Round Waffles,Banana Delight Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
Round Waffles,Chocoberry Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Chocoberry Waffle,All,Medium strawberries,5 pcs,sliced
Round Waffles,Chocoberry Waffle,All,Pistachio powder,1 TBSP,
Round Waffles,Chocoberry Waffle,All,White chocolate sauce,10 lines,finish drizzle
Round Waffles,Choco-Rocher Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Choco-Rocher Waffle,All,Mixed nuts,2 TBSP,
Round Waffles,Choco-Rocher Waffle,All,Ferrero Rocher chocolates,2 pcs,sliced in half
Round Waffles,Choco-Rocher Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
Round Waffles,Raspberry Sensation Waffle,All,White chocolate sauce,15 lines,first drizzle
Round Waffles,Raspberry Sensation Waffle,All,Raspberries,10 pcs,spread out
Round Waffles,Raspberry Sensation Waffle,All,White chocolate sauce,10 lines,second drizzle
Round Waffles,Raspberry Sensation Waffle,All,Raspberry sauce,10 lines,finish drizzle
Round Waffles,Fruitella Waffle,All,Nutella sauce,15 lines,first drizzle
Round Waffles,Fruitella Waffle,All,Banana,10 thin slices,
Round Waffles,Fruitella Waffle,All,Medium strawberries,5 pcs,sliced
Round Waffles,Fruitella Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
Round Waffles,Yum Bubblegum Waffle,All,Nutella sauce,12 lines,first drizzle
Round Waffles,Yum Bubblegum Waffle,All,Millions sweets & colour sprinkles,1 TBSP,
Round Waffles,Yum Bubblegum Waffle,All,Kinder Bueno,1 pc,
Round Waffles,Yum Bubblegum Waffle,All,Bubblegum sauce,10 lines,second drizzle
Round Waffles,Yum Bubblegum Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
Round Waffles,Cookilicious Waffle,All,Cookie dough balls (defrosted),12 balls approx 10g each,6 per foil tray. Bake at 170°C 2 mins. Cool 2-3 mins
Round Waffles,Cookilicious Waffle,All,Nutella sauce,15 lines,drizzle
Round Waffles,Cookilicious Waffle,All,Cookie dough pieces,10-12 pcs,
Round Waffles,Cookilicious Waffle,All,Milk chocolate sauce,10 lines,finish drizzle
French Crepes,Crepe Base,All,Crepe batter,180ml per crepe,cook at 180°C. First crepe: spray heavily. Cook 10-15 secs. Flip. Cook 30 secs. Fold into triangle
French Crepes,Nutella Classic Crepe,All,Nutella sauce (inside),3 lines,
French Crepes,Nutella Classic Crepe,All,Nutella sauce (on top),16 lines,
French Crepes,Strawberry Passion Crepe,All,Nutella sauce (inside),3 lines,
French Crepes,Strawberry Passion Crepe,All,Medium strawberries,3-4 pcs,sliced
French Crepes,Strawberry Passion Crepe,All,Nutella sauce (on top),16 lines,
French Crepes,Banoffee Crepe,All,Nutella sauce (inside),3 lines,
French Crepes,Banoffee Crepe,All,Banana,10-12 thin slices,
French Crepes,Banoffee Crepe,All,Milk chocolate sauce (on top),16 lines,
French Crepes,Oreo Blossom Crepe,All,Nutella sauce (inside),3 lines,
French Crepes,Oreo Blossom Crepe,All,Oreo dust,3 TBSP,
French Crepes,Oreo Blossom Crepe,All,Oreo biscuit,1 pc,
French Crepes,Oreo Blossom Crepe,All,Nutella sauce (on top),16 lines,
French Crepes,Fresh Indulgence Crepe,All,Nutella sauce (inside),3 lines,
French Crepes,Fresh Indulgence Crepe,All,Medium strawberries,2-3 pcs,sliced
French Crepes,Fresh Indulgence Crepe,All,Banana,half pc,sliced
French Crepes,Fresh Indulgence Crepe,All,Nutella sauce (on top),16 lines,
French Crepes,Luscious Lotus Crepe,All,Lotus sauce (inside),3 lines,
French Crepes,Luscious Lotus Crepe,All,Lotus Biscoff dust,3 TBSP,
French Crepes,Luscious Lotus Crepe,All,Lotus Biscoff biscuit,1 pc,
French Crepes,Luscious Lotus Crepe,All,Lotus sauce (on top),16 lines,
French Crepes,Oreo & Strawberry Crepe,All,Nutella sauce (inside),3 lines,
French Crepes,Oreo & Strawberry Crepe,All,Medium strawberries,3 pcs,sliced
French Crepes,Oreo & Strawberry Crepe,All,Oreo dust,2 TBSP,
French Crepes,Oreo & Strawberry Crepe,All,Nutella sauce (on top),16 lines,
French Crepes,Hazel Nutter Crepe,All,Nutella sauce,3 lines,
French Crepes,Hazel Nutter Crepe,All,Mixed nuts,2 TBSP,
French Crepes,Hazel Nutter Crepe,All,Kinder Bueno chocolate,1 pc,
French Crepes,Hazel Nutter Crepe,All,Nutella sauce (on top),16 lines,
French Crepes,The Canadian Crepe,All,Maple syrup (inside),3 lines,
French Crepes,The Canadian Crepe,All,Medium strawberries,5 pcs,sliced
French Crepes,The Canadian Crepe,All,Maple syrup (on top),10 lines,
French Crepes,Raspberry Temptation Crepe,All,White chocolate (inside),3 lines,
French Crepes,Raspberry Temptation Crepe,All,Raspberries,10 pcs,
French Crepes,Raspberry Temptation Crepe,All,White chocolate (on top),15 lines,
French Crepes,Raspberry Temptation Crepe,All,Raspberry sauce,10 lines,
French Crepes,Kanafeh Crepe,All,Katafi mix (inside),2 TBSP,spread evenly
French Crepes,Kanafeh Crepe,All,Milk chocolate sauce,10 lines,marble effect with knife
French Crepes,Kanafeh Crepe,All,Pistachio sauce,10 lines,marble effect with knife
French Crepes,Kanafeh Crepe,All,Pistachio dust,1 TBSP,bottom gap
French Crepes,Kanafeh Crepe,All,Dry katafi,1 TBSP,bottom gap
Spanish Churros,COOKING: All Churros,All,Frozen churros,4 pcs per portion,fry at highest heat 6 mins. Flip at 3 mins. Drain. Coat in cinnamon & sugar mixture
Spanish Churros,Original Churros,All,Cinnamon & sugar mixture,coat,
Spanish Churros,Original Churros,All,Dipping sauce (milk / white / Kinder / Nutella),1 pot (2oz),customer choice
Spanish Churros,Cookies & Cream Churros,All,Milk chocolate sauce,4 lines,
Spanish Churros,Cookies & Cream Churros,All,Oreo dust,1 TBSP,
Spanish Churros,Cookies & Cream Churros,All,White chocolate sauce,4 lines,
Spanish Churros,Chocolate & Almond Churros,All,Milk chocolate sauce,6 lines,
Spanish Churros,Chocolate & Almond Churros,All,Almond slices,1 TBSP,
Spanish Churros,Chocolate & Sprinkle Churros,All,Milk chocolate sauce,6 lines,
Spanish Churros,Chocolate & Sprinkle Churros,All,Colour sprinkles,1 TBSP,
Spanish Churros,Strawberry & Pistachio Churros,All,Milk chocolate sauce,6 lines,
Spanish Churros,Strawberry & Pistachio Churros,All,Pistachio dust,1 TBSP,
Spanish Churros,Strawberry & Pistachio Churros,All,Medium strawberries,2 pcs,sliced
Dipped Strawberries,Belgian Milk Chocolate Strawberries,All,Large strawberries,6 pcs (7-8 if small),clean dry & chilled
Dipped Strawberries,Belgian Milk Chocolate Strawberries,All,Belgian milk chocolate,to dip,scrape excess. Set in fridge if runny
Dipped Strawberries,Belgian White Chocolate Strawberries,All,Large strawberries,6 pcs,
Dipped Strawberries,Belgian White Chocolate Strawberries,All,Belgian white chocolate,to dip,
Dipped Strawberries,Kinder Chocolate Dipped Strawberries,All,Large strawberries,6 pcs,
Dipped Strawberries,Kinder Chocolate Dipped Strawberries,All,Kinder chocolate,to dip,
Dipped Strawberries,Assorted Dipped Strawberries,All,Large strawberries,6 pcs,2 milk + 2 white + 2 Kinder chocolate
Dipped Strawberries,Assorted Dipped Strawberries,All,Belgian milk chocolate,2 pcs worth,
Dipped Strawberries,Assorted Dipped Strawberries,All,Belgian white chocolate,2 pcs worth,
Dipped Strawberries,Assorted Dipped Strawberries,All,Kinder chocolate,2 pcs worth,
Chocolate Strawberry Cups,Chopped Strawberry Cup (12oz),All,Belgian milk chocolate,drizzle,glass lining
Chocolate Strawberry Cups,Chopped Strawberry Cup (12oz),All,Medium strawberries,4 pcs layer 1,sliced
Chocolate Strawberry Cups,Chopped Strawberry Cup (12oz),All,Milk chocolate sauce,4 lines,layer 1
Chocolate Strawberry Cups,Chopped Strawberry Cup (12oz),All,Medium strawberries,4 pcs layer 2,sliced
Chocolate Strawberry Cups,Chopped Strawberry Cup (12oz),All,Milk chocolate sauce,4 lines,layer 2. Same for Kinder / White / Nutella variants
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Belgian milk chocolate,drizzle,glass lining
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Pistachio sauce,drizzle,glass lining
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Medium strawberries,3 pcs layer 1,sliced
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Katafi mix,2 TBSP layer 1,
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Milk chocolate sauce,4 lines layer 1,
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Medium strawberries,3 pcs layer 2,sliced
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Katafi mix,2 TBSP layer 2,
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Milk chocolate sauce,4 lines layer 2,
Chocolate Strawberry Cups,Kanafeh Strawberry Cup,All,Dry katafi,1 TSP,top garnish. Do not fill to very top
Sundaes,Strawberry Shortbread Sundae,All,Strawberry sauce,drizzle,glass base
Sundaes,Strawberry Shortbread Sundae,All,Vanilla gelato,1 scoop,
Sundaes,Strawberry Shortbread Sundae,All,Strawberry gelato,1 scoop,
Sundaes,Strawberry Shortbread Sundae,All,Fresh strawberries,freshly chopped,
Sundaes,Strawberry Shortbread Sundae,All,Crushed shortbread biscuit,1 TBSP,
Sundaes,Strawberry Shortbread Sundae,All,Strawberry sauce,light drizzle,
Sundaes,Strawberry Shortbread Sundae,All,Whipped cream,1 swirl,
Sundaes,Strawberry Shortbread Sundae,All,Garnish: shortbread crumbs + strawberries + strawberry sauce,light drizzle,top
Sundaes,Banana Split Sundae,All,Toffee sauce,drizzle,glass base
Sundaes,Banana Split Sundae,All,Vanilla gelato,2 scoops,
Sundaes,Banana Split Sundae,All,Banana,half pc,thinly sliced
Sundaes,Banana Split Sundae,All,Toffee sauce,light drizzle,
Sundaes,Banana Split Sundae,All,Whipped cream,1 swirl,
Sundaes,Banana Split Sundae,All,Garnish: 2 thin banana slices + toffee sauce,top garnish,
Sundaes,Tutti Frutti Sundae,All,Strawberry sauce,drizzle,glass base
Sundaes,Tutti Frutti Sundae,All,Vanilla gelato,1 scoop,
Sundaes,Tutti Frutti Sundae,All,Strawberry gelato,1 scoop,
Sundaes,Tutti Frutti Sundae,All,Banana,8 thin slices,
Sundaes,Tutti Frutti Sundae,All,Medium strawberries,2 pcs,
Sundaes,Tutti Frutti Sundae,All,Strawberry sauce,light drizzle,
Sundaes,Tutti Frutti Sundae,All,Whipped cream,1 swirl,
Sundaes,Tutti Frutti Sundae,All,Garnish: 2 thin banana slices + 2 small strawberries + strawberry sauce,top garnish,
