Category,Item Name,Price,Description,Options/Variants,Option Prices
Round Waffle,Lotus Waffle,£8.95,Waffle covered with Lotus sauce and Lotus crumbs,,
Round Waffle,Fruitella,£8.95,"Waffle with Nutella, banana, and strawberries",,
Round Waffle,Yum Bubblegum,£8.95,"Waffle with Nutella, Kinder Bueno and bubblegum sauce",,
Kanafeh,Original Kanafeh,£8.45,"A Middle Eastern classic with a Chocoberry twist! Made from thin strands of dough, filled with sweet cheese, soaked in sugar syrup, and topped with pistachios — an irresistible treat",,
Kanafeh,Lotus Biscoff Kanafeh,£8.95,"Our freshly made kunafeh, with sweet cheese, covered in rich Lotus sauce and finished with a sprinkle of Lotus Biscoff dust. A dreamy, caramelized twist on a classic favourite",,
Kanafeh,Belgian Chocolate Kanafeh,£8.95,"Our freshly made kanafeh, sweet cheese, beautifully covered in a marble design of Belgian milk and white chocolate, and topped with pistachio nuts. A visually stunning and indulgent treat",,
Kanafeh,Chocoberry Kanafeh,£8.95,"Pistachio sauce drizzled over our freshly made kanafeh, sweet cheese, finished with a generous sprinkle of pistachio nuts. A luxury treat you won't want to miss",,
Kanafeh,White Chocolate And Pistachio Kanafeh,£8.95,"Our freshly made kunafeh, sweet cheese, generously covered in dreamy Belgian white chocolate and topped with pistachio nuts",,
Kanafeh,Nutella Loaded Kanafeh,£8.95,"A decadent twist on the classic kanafeh, sweet cheese, topped with a generous layer of Nutella and crowned with aromatic pistachio nuts",,
Cookie Dough,Chocolate Chip Cookie Dough,£7.45,"Rich, delicious chocolate chip cookie dough with creamy chocolate chips and gooey bites of cookie dough. Enjoy this decadent treat",,
Cookie Dough,White Chocolate Chip Cookie Dough,£7.45,Creamy white chocolate chips swirled into our decadent cookie dough for a sweet treat. Enjoy the classic flavour of white chocolate in every bite,,
Cookie Dough,Oreo-Tella,£7.95,Chocolate chip cookie dough with Oreo and Nutella filling,,
Cookie Dough,Chocolate Surprise,£7.95,Chocolate chip cookie dough with Nutella and fudge brownie fillings,,
Cookie Dough,Lotus Biscoff,£7.95,Chocolate chip cookie dough with Lotus Biscoff chocolate and topped with Lotus dust,,
Cookie Dough,Royal Ferrero Cookie Dough,£7.95,An indulgent treat that combines the rich flavours of Nutella and chocolate with the gooey goodness of cookie dough,,
Cookie Dough,Raspberry Kiss,£7.95,Chocolate chip cookie dough with white chocolate and raspberries and raspberry sauce,,
Cookie Dough,Choco Caramel,£7.95,Belgian milk chocolate cookie dough with chewy caramel cubes and Belgian chocolate sauce,,
French Crepes,Strawberry Passion Crepe,£4.25,Fresh strawberries topped on a warm crepe and drizzled with rich Nutella. A delightful combination of sweetness and indulgence in every bite,,
French Crepes,Banoffee Crepe,£7.95,"A perfectly golden, delicate, and soft crepe topped with fresh banana slices and drizzled with rich Nutella. A simple yet indulgent treat",,
French Crepes,Fresh Indulgence Crepe,£8.25,"A soft, golden crepe topped with fresh strawberries, bananas, and drizzled with rich Nutella. A perfect balance of fruity and chocolaty goodness",,
French Crepes,Oreo & Strawberries Crepe,£8.25,"Enjoy the perfect combination of fresh strawberries, crumbled Oreos, and a drizzle of warm Nutella on a fresh, warm, and soft crepe. A delightful fusion of sweet and crunchy",,
French Crepes,Raspberry Temptation Crepe,£8.25,"Indulge in the perfect balance of sweet and tangy with this crepe filled with fresh raspberries, smooth white chocolate, and topped with a luscious raspberry sauce",,
French Crepes,Oreo Blossom Crepe,£8.25,Savor a decadent crepe topped with Oreo dust and enhanced with a generous drizzle of warm Nutella. A rich and irresistible treat,,
French Crepes,Hazel Nutter Crepe,£8.25,"A decadent crepe topped with Nutella, Kinder Bueno chunks and roasted mixed nuts. A perfect combination of crunchy, creamy, and nutty — an irresistible treat",,
French Crepes,Lotus Biscoff Crepe,£8.25,A warm soft crepe topped with crumbled Lotus Biscoff biscuits and drizzled with luscious Lotus sauce,,
French Crepes,The Canadian Crepe,£8.25,A delicate freshly made French crepe filled with juicy fresh strawberries and drizzled with the finest Canadian maple syrup. A sweet light and indulgent treat,,
French Toast (Dessert),Nutella Brownie French Toast,£9.95,"Indulge in a classic breakfast treat with our Nutella brownie French toast! This decadent dish features a warm toast alongside mixed berries, gooey brownies and side of Nutella for extra flavor",,
French Toast (Dessert),Raspberry And Pistachio French Toast,£10.95,"Our most popular raspberry and pistachio French toast — a sweet combo of raspberries, crunchy pistachios, seasonal fruit and fluffy French toast alongside our famous pistachio sauce. Enjoy the mouth-watering combination!",,
French Toast (Dessert),Lotus Biscoff French Toast,£9.95,"A delightful twist on traditional French toast! Our Lotus Biscoff French toast is made with rich caramelized Lotus sauce, topped with mixed berries and chocolate shavings",,
French Toast (Dessert),Mixed Berry Compote French Toast,£9.95,"A classic breakfast favourite, our mixed berry compote French toast is served with a home made, tangy-sweet compote of mixed berries. Enjoy this delicious twist on traditional French toast!",,
Spanish Churros,Original Churros,£5.95,"Light, crispy, and impossibly delicious classic churros dusted in cinnamon sugar and paired with warm chocolate sauce for the perfect sweet indulgence",,
Spanish Churros,Cookie & Cream Churros,£6.45,Churros drizzled with Belgian milk and white chocolate and topped with Oreo crumbs,,
Spanish Churros,Chocolate & Almond Churros,£6.45,"Crispy churros coated in cinnamon sugar, drizzled with smooth Belgian chocolate, and finished with almond flakes for a delightful, nutty crunch",,
Spanish Churros,Strawberry & Pistachio Churros,£6.75,"Indulge in our loop churros, coated in fragrant cinnamon sugar, elegantly drizzled with rich Belgian chocolate, and adorned with fresh strawberries and crunchy pistachio nuts",,
Spanish Churros,Chocolate & Sprinkle Churros,£6.45,"Indulge in our crispy, golden churros, drizzled with rich chocolate and adorned with sprinkles, offering a sweet and playful twist on a classic treat",,
Chocolate Dipped Strawberries,Belgian Milk Dipped Strawberries,£7.45,"Fresh, juicy strawberries hand-dipped in smooth Belgian milk chocolate, creating a perfect blend of fruity sweetness and rich chocolate",,
Chocolate Dipped Strawberries,Belgian White Chocolate Strawberries,£7.45,"Succulent fresh strawberries dipped in smooth Belgian white chocolate, delivering a perfect combination of creamy sweetness and fruity freshness. A truly indulgent treat",,
Milk Cakes,Lotus Biscoff Milk Cake,£7.45,"A rich and soft sponge milk cake infused with the distinctive flavor of Lotus Biscoff, topped with Biscoff dust, creating a decadent, melt-in-your-mouth experience",,
Milk Cakes,Pistachio Milk Cake,£7.45,"A rich and soft sponge milk cake infused with the delicate flavor of pistachios, topped with crushed pistachio nuts, offering a perfect balance of nuttiness and sweetness in every bite",,
Milk Cakes,Original Milk Cake,£7.45,"A soft and creamy cake soaked in the unique flavor of tres leches, melting in your mouth with every bite. Enjoy its velvety texture and touch of vanilla notes for a truly indulgent experience",,
Cakes & Treats,Tiramisu,£6.95,Espresso-soaked ladyfingers layered with creamy mascarpone and finished with a dusting of cocoa,,
Cakes & Treats,Hot Fudge Brownie,£7.85,"A fudgy, dense brownie with chocolate chips and chunks, served warm and drizzled with milk chocolate for the ultimate indulgence",,
Cakes & Treats,Peanut Butter Stack,£7.85,"A sweet and salty blend of peanut butter crunch, creamy milk chocolate, and buttery caramel, layered with rich chocolate brownie and topped with crunchy honey-roasted peanuts. Served warm and drizzled with milk chocolate",,
Cakes & Treats,Lava Cake,£8.45,"A rich, indulgent dark chocolate cake topped with a warm, melted chocolate center, topped with drizzle of milk chocolate creating an unforgettable gooey treat in every bite",,
Cakes & Treats,Luxury Fudge Cake,£8.55,"A rich three-layer chocolate cake filled with smooth chocolate fudge buttercream and caramel, topped with decadent chocolate fudge buttercream, and served warm with a drizzle of milk chocolate",,
Cakes & Treats,Cornflake Tart,£7.55,A buttery pastry base topped with fruity jam and finished with a golden syrup-coated cornflake layer,,
Cakes & Treats,Jam & Coconut Sponge Cake,£7.25,"A moist and springy sponge, perfectly balanced with sweet jam and rich coconut for a deliciously satisfying treat",,
Cakes & Treats,French Macaron (6 Pieces),£12.95,"Delicious French-style macarons with an array of tantalizing flavors to satisfy every sweet tooth: vanilla, chocolate, lemon, caramel, pistachio, raspberry",Upgrade?: Latte | Hot Chocolate,£2.50 | £2.50
Cakes & Treats,Apple Crumble,£7.95,"A warm, comforting dessert with tender, spiced apples beneath a golden, buttery crumble topping",,
Cakes & Treats,Sticky Toffee Pudding,£7.95,A light and airy pudding enhanced with toffee flavour with toffee sauce,,
Cakes & Treats,Chocolate Sponge Pudding,£7.95,"A rich, warm chocolate sponge soaked in a luscious chocolate sauce, creating the perfect melt-in-your-mouth dessert and finished with a drizzle of milk chocolate",,
Cheesecakes,Tiramisu Cheesecake,£7.45,"A creamy coffee topping layered with light chocolate sponge, dusted with cocoa powder, and topped with chocolate coffee beans. A perfect blend of rich, aromatic flavors",,
Cheesecakes,Strawberry Cheesecake,£7.45,"A creamy cheesecake with a buttery biscuit base, topped with a tart-sweet strawberry glaze and finished with a drizzle of chocolate. A perfectly balanced, delicious treat",,
Cheesecakes,Blueberry Crumble Cheesecake,£7.45,"A smooth, creamy blueberry filling on a plain digestive biscuit base, topped with a crunchy golden crumble",,
Cheesecakes,Oreo Cheesecake,£7.45,"A delicious blend of dark biscuit base and creamy white filling, flecked with cookies & cream crumbs. Topped with a swirl of dairy cream and a mini cookie for the perfect balance of sweetness and crunch",,
Cheesecakes,Lotus Biscoff Cheesecake,£7.45,"Indulge in a luxurious cheesecake on a crumbly biscuit base, topped with crunchy Lotus Biscoff crumbs for an irresistible, rich treat — perfect for pairing with coffee and pure indulgence",,
Cheesecakes,Ferrero Rocher Cheesecake,£7.45,"A decadent cheesecake topped with a whole Ferrero Rocher, chocolate swirl, and crunchy nibbed nuts. The rich, nutty flavor paired with creamy cheesecake creates a perfect balance for chocolate and nut lovers",,
Cheesecakes,Milk Chocolate Lindt Cheesecake,£7.45,"A dreamy chocolate cheesecake topped with smooth Lindt milk chocolate truffle, creating a light, indulgent treat that's perfect for any dessert lover",,
Cheesecakes,San Sebastian Cheesecake,£7.45,"A rich and creamy cheesecake with a delectably smooth center and a beautifully caramelized, slightly burnt top. Served with smooth Belgian milk chocolate",Choose Chocolate Sauce: Milk Chocolate | White Chocolate | Pistachio Sauce,£0.00 | £0.00 | £0.00
Soft Swirl Ice Cream Tubs,Choco Crunch,£4.45,"A rich swirl of creamy vanilla soft serve, drizzled with chocolate sauce and topped with crunchy chocolate crispies",,
Soft Swirl Ice Cream Tubs,Pistachio Kanafeh Swirl Ice Cream,£4.75,Vanilla soft serve meets pistachio sauce and kanafeh crunch in every creamy crispy bite,,
Soft Swirl Ice Cream Tubs,Mi Su,£4.45,"Tiramisu, but make it swirly! Vanilla soft serve, with coffee infused sponge fingers, topped with chocolate sauce and cacao",,
Soft Swirl Ice Cream Tubs,Golden Biscoffe Swirl Ice Cream,£4.45,A creamy swirl of vanilla soft serve with rich Lotus sauce and topped with crunchy caramelized Lotus biscuit crumble,,
Soft Swirl Ice Cream Tubs,Cookie Crumb,£4.45,"Creamy vanilla soft swirl with cookie crumbles, perfect for a sweet treat any time of the day",,
Soft Swirl Ice Cream Tubs,ChocoBerry Swirl Ice Cream,£4.45,Creamy vanilla soft serve swirled with rich Nutella and topped with fresh strawberry fruit for the perfect sweet and nutty treat,,
Soft Swirl Ice Cream Tubs,Mango & Passion Swirl Ice Cream,£4.45,"A tropical delight of creamy vanilla soft serve swirled with luscious mango sauce and bursting with fresh, tangy passion fruit",,
Falooda,Kulfi Falooda,£4.45,"Creamy kulfi ice cream with flavoured milk, basil seeds, nuts, rose syrup, and sev for a delightful treat",,
Falooda,Mango Falooda,£4.45,"Mango ice cream with mango, flavoured milk, basil seeds, nuts, rose syrup, and sev",,
Falooda,Rose Falooda,£4.45,"Kulfi ice cream with rose syrup, flavoured milk, basil seed, nuts, and sev for a delightful treat",,
Falooda,Pistachio Falooda,£4.45,"Pistachio ice cream with pistachios, flavoured milk, basil seeds, nuts, rose syrup, and sev",,
Sundae,Strawberry Shortbread Sundae,£4.45,"Strawberry and vanilla ice cream with fresh strawberries, shortbread biscuits and strawberry sauces topped with whipped cream",,
Sundae,Fudge Brownie Sundae,£4.45,Scoops of vanilla ice cream with fudge brownie pieces,chocolate sauce and whipped cream,
Sundae,Mango Me,£4.45,"Scoops of vanilla and mango ice cream, mango sauce, mango chunks and topped with whipped cream",,
Sundae,Millions,£4.45,"Bubblegum and vanilla ice cream, bubblegum sauce, Millions sweets and topped with whipped cream",,
Sundae,Tutti Frutti,£4.45,Scoops of vanilla ice cream with strawberries and banana strawberry sauce and whipped cream,,
Sundae,Oreo Heaven Sundae,£4.45,"Scoops of vanilla ice cream, chocolate sauce, crushed Oreos and whipped cream",,
Sundae,Caramel Crrush,£4.45,"Movenpick Caramelita, chewy caramell fudge cubes, caramel cubes, caramel sauce, vanilla ice cream and topped with whipped cream",,
Sundae,Royal Ferrero Sundae,£4.45,"Vanilla and Movenpick Swiss chocolate ice cream, chocolate sauce, Ferrero chocolate topped with whipped cream",,
Sundae,Banana Split Sundae,£4.45,"Scoops of vanilla ice cream, toffee sauce, banana slices and topped with whipped cream",,
Movenpick & Gelato Ice Cream,One Sweet Scoop,£3.45,"Just one scoop of pure happiness! Creamy, dreamy, and packed with flavor — because sometimes, all you need is a little scoop of joy",Flavours: Vanilla Dream | Swiss Chocolate | Strawberry | Pistachio | Caramelita,£0.00 | £0.00 | £0.00 | £0.00 | £0.00
Movenpick & Gelato Ice Cream,Double Scoop,£5.75,"Double the fun, double the flavor! Two creamy scoops of your favorite ice cream, bringing twice the happiness and twice the indulgence in every bite. Perfect for when one scoop just isn't enough",Flavours: Vanilla Dream | Swiss Chocolate | Strawberry | Pistachio | Caramelita,£0.00 | £0.00 | £0.00 | £0.00 | £0.00
Big Breakfast,Classic English,£19.95,"A hearty plate comprising of fried eggs, grilled sausages, beef bacon, hash browns, grilled mushrooms, grilled tomato and baked beans, served with toasted bread",,
Big Breakfast,South Asian Breakfast,£19.95,"Indulge with our South Asian breakfast featuring crispy parathas, flavorful omelette, butter chicken, masala beans, and a fresh salad",,
Big Breakfast,Steak & Egg,£18.45,"Savor a hearty meal of Angus beef steak, fried eggs, potato puffs, mushrooms, tomato, baked beans, and toasted bread",,
Big Breakfast,Big Bang,£13.95,"Experience a flavor explosion with our Big Bang breakfast — a delicious combination of scrambled eggs, tomato, mushrooms, hash browns, grilled cheese, baked beans, and French toast topped with mixed berries and honey",,
Big Breakfast,The Mediterranean,£12.45,"Indulge in our Mediterranean breakfast plate with falafels, scrambled egg, avocado, olives, grilled cheese, flatbread, and yogurt honey topped with walnuts",,
Big Breakfast,Chicken Egg Paratha Roll,£9.25,Juicy homemade chicken rolled up in a crispy paratha bread with fluffy egg omelet,cheese and fresh spices alongside a dip for the perfect flavor,
Big Breakfast,Melty Egg Muffin,£9.95,"A delicious toasted muffin with fried eggs, hashbrowns, cheese, creamy avocado, and fresh greens",,
Big Breakfast,Grilled Chicken Bagel,£9.95,"A delightful combination of grilled bagel topped with grilled chicken and a layer of melted cheese, onions and fresh greens, chips",,
Big Breakfast,Breakfast Bowl,£9.25,"Start your day off right with our breakfast bowl, featuring boiled eggs, grilled halloumi, potato pufs, olives, avocado, and grilled vegetables — a delicious and nutritious way to fuel your morning",,
Big Breakfast,One-Pot Skillet,£10.85,"A hearty breakfast skillet with grilled sausage, fried eggs, stir-fried mushrooms, seasoned beans, feta, and parsley, served with toasted bread",,
Big Breakfast,Shakshuka,£10.45,"Shakshuka featuring poached eggs in a tomato sauce, topped with feta cheese, herbs and spicy sauce",,
Exquisite Eggs,Turkish Eggs,£10.15,Medium fried eggs nestled on creamy yogurt and simit bread,topped with our chef's special sauce for an extra burst of flavor,
Exquisite Eggs,Egg Avocado Croissant,£8.45,"Flaky croissant with creamy avocado, fluffy scrambled eggs, and served with potato puffs",,
Exquisite Eggs,Classic French Omelette,£7.95,"A fluffy folded omelette filled with black pepper and cheese, and topped with freshly chopped parsley and served with toasted bread",,
Exquisite Eggs,Traditional Omelette,£7.95,"Our traditional omelette is filled with diced onion, green chillies, fresh coriander, and juicy tomatoes and served with toasted bread",,
Exquisite Eggs,Greek Omelette,£8.45,"Indulge in our Mediterranean-inspired Greek omelette, filled with feta cheese, onion, olives, tomato, and aromatic herbs, accompanied by toasted bread",,
Tempting Toasts,Smashed Avocado On Toast,£7.95,"Enjoy a delicious toast, freshly made with smashed avocado, cucumber, bell pepper, tomato topped with chilli flakes, a drizzle of our secret sauce and some fresh greens, feta cheese, served on sourdough bread",,
Tempting Toasts,Cheese On Toast,£7.45,"This cheesy, flavorful dish is sure to tantalize your taste buds. Our cheese on toast features a mixture of cheeses with chilli flakes, red chilli, and some greens, grilled to perfection and served with tomatoes and vegetables",,
Tempting Toasts,Mushroom On Toast,£7.95,Creamy mushroom on toast: juicy sautéed mushrooms served on a golden sourdough toast with fresh greens,,
Tempting Toasts,Mediterranean Hummus On Toast,£7.95,"Mediterranean hummus on toast: a twist on your classic hummus, with a blend of Mediterranean spices, served on sourdough toast and sprinkled with fresh greens",,
Tempting Toasts,Grilled Veggies On Toast,£7.95,A healthy and delicious combination of lightly grilled vegetables and hummus served on a bed of sourdough toast — the perfect brunch to enlighten your day!,,
French Toast (Breakfast),Nutella Brownie French Toast,£9.95,"Indulge in a classic breakfast treat with our Nutella brownie French toast! This decadent dish features a warm toast alongside mixed berries, gooey brownies and side of Nutella for extra flavor",,
French Toast (Breakfast),Raspberry And Pistachio French Toast,£10.95,"Our most popular raspberry and pistachio French toast — a sweet combo of raspberries, crunchy pistachios, seasonal fruit and fluffy French toast alongside our famous pistachio sauce. Enjoy the mouth-watering combination!",,
French Toast (Breakfast),Lotus Biscoff French Toast,£9.95,"A delightful twist on traditional French toast! Our Lotus Biscoff French toast is made with rich caramelized Lotus sauce, topped with mixed berries and chocolate shavings",,
French Toast (Breakfast),Mixed Berry Compote French Toast,£9.95,"A classic breakfast favourite, our mixed berry compote French toast is served with a home made, tangy-sweet compote of mixed berries. Enjoy this delicious twist on traditional French toast!",,
Granola Bowls,Strawberry Granola Bowl,£7.85,Fresh strawberry and crunchy granola come together in our strawberry granola bowl. Enjoy a sweet and healthy breakfast bowl that is sure to start your day off right!,,
Granola Bowls,Vanilla Granola Bowl,£7.55,"A delicious and healthy breakfast option, our vanilla granola bowl is made with creamy yogurt, crunchy granola and fresh seasonal fruit. A perfect start to your day!",,
Granola Bowls,Mango & Passion Granola Bowl,�7.85,Indulge in the tropical flavors of mango and passion fruit paired with crunchy granola in this refreshing breakfast bowl,,
Enhance Your Breakfast,Add Ons,,Enhance your breakfast dishes from the selection of add ons available,Add Ons: Hash Brown (x2) | Potato Puffs | Fried Eggs (x2) | Scrambled Eggs | Traditional Omelette,£2.50 | £2.50 | £2.50 | £3.50 | £3.50
All Day Brunch,Chicken Pasta,£14.95,"Try our delicious pasta — a mouth watering combination of chicken or veg, penne pasta, and a creamy white sauce. You'll savour every bite!",,
All Day Brunch,Chicken Wings 6 Pcs.,£12.95,Hot wings grilled to perfection served with salad,,
All Day Brunch,Chop Chop,£14.95,Grilled lamb chops marinated with herbs and spices,served with house made fresh mint chutney,
All Day Brunch,Crunchie Chicken Burger,£14.95,"Tantalise your tastebuds with our delicious Crunchie Chicken Burger. Juicy chicken patty, crunchy red onions and fresh lettuce, all served in a toasted bun with tasty chips",,
All Day Brunch,Heritage Angus Beef Burger,£13.45,"Our delicious Heritage Angus Beef Burger is freshly-cooked and served on a toasted bun, topped with cheese, caramelized onions, tomato slice, lettuce, accompanied with a crispy side of chips",,
All Day Brunch,Mac & Cheese,£8.88,A classic comfort food,our Mac & Cheese is made with macaroni and creamy cheddar cheese sauce,
All Day Brunch,Humus & Salad,£6.45,Our signature dish featuring creamy hummus served with a hearty salad alongside toasted bread,,
All Day Brunch,Humus And Falafel,£7.85,Satisfy your Mediterranean cravings with our house-made hummus and falafel and fresh salad alongside toasted bread,,
All Day Brunch,Momo's,£7.55,"Delicious dumplings filled with a savory mixture of vegetable and spices, served with a side of homemade dipping sauce",Veg Or Chicken?: Chicken | Veg,£0.00 | £0.00
All Day Brunch,Spring Rolls (Veg),£5.95,"Golden, crispy vegetable spring rolls filled with a savory mix of vegetables and spices",,
All Day Brunch,Chicken Samosas,£5.95,"Golden, flaky pastry filled with tender chicken, seasoned potatoes, and a medley of vegetables",,
All Day Brunch,Seasoned Chips,£3.95,Crispy rustic chips perfect for dipping or for a light snack,,
All Day Brunch,Masala Chips,£4.95,Crunchy chips flavored with our special homemade sauce topped with spring onions,,
Bowls,Chicken Gochujang,£19.95,"A bowl full of goodness, filled with rice, gochujang chicken, avocado, cucumber, tomatoes, mixed leaves, sesame seeds and spring onion",,
Bowls,Sesame Noodles,Beef £13.95 | Chicken £13.55 | Vegetable £12.45,"A vibrant bowl of noodles coated in a bold, spicy Korean chilli-sesame sauce, served with a colourful medley of fresh vegetables for a bright, satisfying crunch",Select: Chicken | Beef | Vegetable,£13.55 | £13.95 | £12.45
Bowls,Burger Bowl,Angus Beef £14.45 | Grilled Chicken £11.55,"Indulge in our mouth-watering burger bowl, featuring your choice of chicken or Angus beef, topped with melted cheese, crispy chips, tangy pickles, a seasoned salad, and a savoury mix of caramelized onions and mushrooms",Select: Angus Beef | Grilled Chicken,£14.45 | £11.55
Bowls,Chicken Shawarma,£14.50,"Loaded with flavour, rice chicken shawarma, Mediterranean salad, hummus, tahini and pickles",,
Bowls,Mediterranean Grill Chicken Bowl,£15.50,"Try our Mediterranean grill chicken bowl: chargrill chicken, fresh Mediterranean salad, feta, hummus, ezme, flavored rice",,
Bowls,Crispy Chicken Mountain,£19.95,"Seasoned chips, homemade salad, topped with crispy chicken strips and sesame seeds",,
Bowls,Fire Cracker Chicken,£13.95,Our fire cracker chicken is a spicy and flavorful dish that will ignite your taste buds with every bite,,
Bowls,Falafel Bowl,£13.50,"Middle Eastern flavours, crispy falafels, rice, homemade salad, hummus, pickles and chilli sauce",,
Bowls,Spiced Chickpea Bowl,£10.50,"This hearty bowl is full of bold flavors. Spicy chickpeas are combined with white rice, cucumbers, and tomatoes for a healthy and delicious meal",,
Steak & Grill,Chicken Parmeason,£16.50,Grilled chicken with cheese and herbs served with chips,,
Steak & Grill,Chicken Steak,£10.50,"Savor our classic grilled chicken steak topped with flavorful steak sauce, and served alongside a side of rustic chips and a fresh seasoned salad. Steak sauce contains cheese",,
Burgers & Pasta,Chicken Pasta,Chicken £14.95 | Vegetarian £11.95,"Try our delicious pasta — an irresistible blend of tender penne in a rich, creamy white sauce. Choose from a chicken or vegetarian option for a dish so comforting and flavorful, you'll savor every bite!",Select: Chicken | Vegetarian,£14.95 | £11.95
Burgers & Pasta,Penne Arrabbiata,Chicken £13.95 | Vegetarian £11.45,"Fiery and flavorful, this spicy penne dish is tossed in a bold arrabbiata sauce and finished with fresh basil, briny olives, and shaved parmesan. Choose from grilled tender chicken or a hearty vegetarian option for the perfect kick in every bite",Select: Chicken | Vegetarian,£13.95 | £11.45
Burgers & Pasta,Melty Cheese Burger,Angus Beef £15.55 | Grilled Chicken £13.55 | Crunchie Chicken £12.55,"Savor our cheesy burger, served on a bed of house-made special cheddar cheese sauce, with your choice of grilled chicken, fried chicken, or Angus beef, and accompanied by crispy rustic chips",Select: Angus Beef | Grilled Chicken | Crunchie Chicken,£15.55 | £13.55 | £12.55
Burgers & Pasta,Chicken Gochujang Burger,£10.95,"A Korean-inspired burger featuring a juicy, fried chicken patty topped with sweet and spicy gochujang sauce. Served on a lightly toasted bun alongside rustic chips for a savory experience",,
Burgers & Pasta,Crunchie Chicken Burger,£14.95,"Tantalise your tastebuds with our delicious Crunchie Chicken Burger. Juicy chicken patty, crunchy red onions and fresh lettuce, all served in a toasted bun with tasty chips",,
Burgers & Pasta,Heritage Angus Beef Burger,£13.45,"Our delicious Heritage Angus Beef Burger is freshly-cooked and served on a toasted bun, topped with cheese, caramelized onions, tomato slice, lettuce, accompanied with a crispy side of chips",,
Burgers & Pasta,Mexican Chicken Grilled Burger,£14.95,"Our Mexican Chicken Grilled Burger is an explosion of flavor! With marinated chicken, and a special blend of spices, it's sure to tantalize your taste buds!",,
Light Bites,Chicken Wings,£12.50,Hot wings grilled to perfection served with salad,,
